neighborhood-range,tolerance,init-sd,enable-movement?,responsiveness,polarization,moran-i-ideology
4,0.05,0.2,true,0.25,0.03840614869545893,-0.007902361609912534
4,0.05,0.2,true,0.25,0.043690259483848734,0.02928511805866404
4,0.1,0.2,true,0.25,0.03926618329703749,-0.007489135506067504
4,0.05,0.2,true,0.25,0.04888055155427811,0.07800765124718766
4,0.15,0.2,true,0.25,0.040291338702134354,0.0020532777117493227
4,0.05,0.2,true,0.25,0.054126195526969394,0.08947447124099112
4,0.1,0.2,true,0.25,0.044825013207702685,0.04638200588200533
4,0.05,0.2,true,0.25,0.06036902111383586,0.13109130776663025
4,0.1,0.2,true,0.25,0.049443468510649735,0.08098915839399294
4,0.15,0.2,true,0.25,0.04522376546059824,0.04784374751298986
4,0.05,0.2,true,0.25,0.06524115457776347,0.1974821506156945
4,0.1,0.2,true,0.25,0.05510033987922903,0.10700521926597305
4,0.05,0.2,true,0.25,0.06983145678762706,0.27994148909028205
4,0.15,0.2,true,0.25,0.0499489923114968,0.06686430835736246
4,0.1,0.2,true,0.25,0.06003766123551453,0.15721186985957167
4,0.05,0.2,true,0.25,0.07391288105383265,0.37525055507024185
4,0.15,0.2,true,0.25,0.05387515845289208,0.12808877602685223
4,0.05,0.2,true,0.25,0.07782950099385441,0.46716367687058113
4,0.1,0.2,true,0.25,0.06451007527524862,0.2279163065291475
4,0.05,0.2,true,0.25,0.08158766223443094,0.4868595976045311
4,0.15,0.2,true,0.25,0.0585400284471838,0.14412693694098191
4,0.1,0.2,true,0.25,0.06879456359887678,0.26428309894983076
4,0.05,0.2,true,0.25,0.08435105645570536,0.5138907302271329
4,0.15,0.2,true,0.25,0.06263384991443609,0.23753591658429338
4,0.1,0.2,true,0.25,0.07336103458673345,0.37289223900369345
4,0.05,0.2,true,0.25,0.0868880818749194,0.5474732067833762
4,0.1,0.2,true,0.25,0.07633147414904895,0.45371825701593704
4,0.15,0.2,true,0.25,0.06633825094976199,0.2941424477125673
4,0.05,0.2,true,0.25,0.08971668094069675,0.5442025733600382
4,0.1,0.2,true,0.25,0.07954128578708163,0.47086800624620667
4,0.05,0.2,true,0.25,0.0917532873303166,0.55406980876099
4,0.15,0.2,true,0.25,0.06975338165580086,0.2879086372754617
4,0.1,0.2,true,0.25,0.08234618152757434,0.514477876417066
4,0.15,0.2,true,0.25,0.07321877965067776,0.3615802240459808
4,0.05,0.2,true,0.25,0.09360014431397372,0.5781136890032669
4,0.05,0.2,true,0.25,0.09559846352111712,0.6526381796803771
4,0.1,0.2,true,0.25,0.08516257258321591,0.4701955966652671
4,0.15,0.2,true,0.25,0.07565053894725443,0.42755270550202806
4,0.05,0.2,true,0.25,0.09720269879960623,0.6314369451107713
4,0.15,0.2,true,0.25,0.0784550576925395,0.41263607317256407
4,0.1,0.2,true,0.25,0.08794407941655934,0.5387453668996004
4,0.05,0.2,true,0.25,0.09925443258247134,0.6413274918824184
4,0.1,0.2,true,0.25,0.091041968863889,0.585259025470707
4,0.15,0.2,true,0.25,0.08058642333920182,0.5073197724340373
4,0.05,0.2,true,0.25,0.10104313558112515,0.7094923414060117
4,0.1,0.2,true,0.25,0.09377464909126754,0.5741334556482235
4,0.15,0.2,true,0.25,0.08187827920932005,0.5659667004525435
4,0.05,0.2,true,0.25,0.10242948122078879,0.7142842282540146
4,0.1,0.2,true,0.25,0.09629219632741058,0.6105298370630923
4,0.15,0.2,true,0.25,0.08361311229446289,0.5739035294039995
4,0.05,0.2,true,0.25,0.10396302405078232,0.6983805508849905
4,0.1,0.2,true,0.25,0.09872400551085757,0.6665455514793043
