
"number","max-jobs","poor-price-priority","rich-quality-priority","death-rate","poor-per-step","rich-per-step","residents-per-job","number-of-tests","Time","median_job_distance_rich","median_job_distance_poor"
"2","10","-1","-0.5","4","5","5","100","15","0","3.439771602367671","3.2637380636197935"
"3","10","-1","0","4","5","5","100","15","0","3.745446112049954","3.7129517929024876"
"3","10","-1","0","4","5","5","100","15","1","7.213310075296109","6.910871153962143"
"1","10","-1","-1","4","5","5","100","15","0","2.5217621710765457","3.948952146567049"
"2","10","-1","-0.5","4","5","5","100","15","1","6.015835964492441","4.571686477749077"
"3","10","-1","0","4","5","5","100","15","2","9.486832980505138","8.94427190999916"
"1","10","-1","-1","4","5","5","100","15","1","4.83232294237822","4.265435430114815"
"2","10","-1","-0.5","4","5","5","100","15","2","5.830951894845301","7.0710678118654755"
"3","10","-1","0","4","5","5","100","15","3","11.086041932630193","13.818569678176821"
"2","10","-1","-0.5","4","5","5","100","15","3","10.621700022186415","10.018099141842427"
"1","10","-1","-1","4","5","5","100","15","2","5.385164807134504","5.0990195135927845"
"2","10","-1","-0.5","4","5","5","100","15","4","14","9.219544457292887"
"3","10","-1","0","4","5","5","100","15","4","11.40175425099138","13.601470508735444"
"1","10","-1","-1","4","5","5","100","15","3","12.582762530298218","8.732877854264103"
"2","10","-1","-0.5","4","5","5","100","15","5","10.246834584086285","10.151743403448553"
"3","10","-1","0","4","5","5","100","15","5","10.61510775430992","13.764929392959782"
"2","10","-1","-0.5","4","5","5","100","15","6","12.041594578792296","9.486832980505138"
"3","10","-1","0","4","5","5","100","15","6","11.180339887498949","14.560219778561036"
"1","10","-1","-1","4","5","5","100","15","4","13","9.219544457292887"
"3","10","-1","0","4","5","5","100","15","7","10.245091065015721","13.96419413859206"
"2","10","-1","-0.5","4","5","5","100","15","7","11.851749184241449","11.291047069245163"
"3","10","-1","0","4","5","5","100","15","8","10.44030650891055","13.92838827718412"
"1","10","-1","-1","4","5","5","100","15","5","13","10.332755814094035"
"2","10","-1","-0.5","4","5","5","100","15","8","10.295630140987","11.180339887498949"
"3","10","-1","0","4","5","5","100","15","9","10.605318061589779","10.998496856945458"
"2","10","-1","-0.5","4","5","5","100","15","9","8.744137827658346","12.390905198117196"
"3","10","-1","0","4","5","5","100","15","10","11.180339887498949","8.94427190999916"
"1","10","-1","-1","4","5","5","100","15","6","12.529964086141668","10.816653826391969"
"2","10","-1","-0.5","4","5","5","100","15","10","8.48528137423857","10.295630140987"
"3","10","-1","0","4","5","5","100","15","11","9.974685278866279","7.671183818789533"
"1","10","-1","-1","4","5","5","100","15","7","10.670495579087131","11.20087712549569"
"2","10","-1","-0.5","4","5","5","100","15","11","6.701562118716424","9.326762794674746"
"3","10","-1","0","4","5","5","100","15","12","10.816653826391969","7.280109889280518"
"2","10","-1","-0.5","4","5","5","100","15","12","7","9.486832980505138"
"3","10","-1","0","4","5","5","100","15","13","10.34001071692777","7.545179782593586"
"1","10","-1","-1","4","5","5","100","15","8","10.198039027185569","11.661903789690601"
"2","10","-1","-0.5","4","5","5","100","15","13","6.66227766016838","9.326762794674746"
"3","10","-1","0","4","5","5","100","15","14","10.04987562112089","7.810249675906654"
"3","10","-1","0","4","5","5","100","15","15","9.874176369203884","7.440658743886065"
"1","10","-1","-1","4","5","5","100","15","9","10.172752881053945","10.367968324948777"
"2","10","-1","-0.5","4","5","5","100","15","14","6.324555320336759","9.433981132056603"
"3","10","-1","0","4","5","5","100","15","16","8.54400374531753","7.0710678118654755"
"2","10","-1","-0.5","4","5","5","100","15","15","8.031128874149275","9.460407056280872"
"3","10","-1","0","4","5","5","100","15","17","8.881774101305208","6.854101966249685"
"2","10","-1","-0.5","4","5","5","100","15","16","9.848857801796104","9.486832980505138"
"1","10","-1","-1","4","5","5","100","15","10","10.04987562112089","11.40175425099138"
"3","10","-1","0","4","5","5","100","15","18","8.246211251235321","8.246211251235321"
"2","10","-1","-0.5","4","5","5","100","15","17","9.667845391150621","9.667845391150621"
"3","10","-1","0","4","5","5","100","15","19","8.881774101305208","8.595241580617241"
"3","10","-1","0","4","5","5","100","15","20","9.219544457292887","7"
"2","10","-1","-0.5","4","5","5","100","15","18","9.848857801796104","9.848857801796104"
"1","10","-1","-1","4","5","5","100","15","11","10.024937810560445","11.53182902034099"
"2","10","-1","-0.5","4","5","5","100","15","19","9.353188718899013","9.848857801796104"
"3","10","-1","0","4","5","5","100","15","21","10.198039027185569","6.555664084966109"
"2","10","-1","-0.5","4","5","5","100","15","20","9.219544457292887","11"
"1","10","-1","-1","4","5","5","100","15","12","8.246211251235321","11.40175425099138"
"2","10","-1","-0.5","4","5","5","100","15","21","9.353188718899013","11.20087712549569"
"1","10","-1","-1","4","5","5","100","15","13","8.028230463570988","11.086041932630193"
"3","10","-1","0","4","5","5","100","15","22","9.433981132056603","7.211102550927978"
"3","10","-1","0","4","5","5","100","15","23","9.219544457292887","7.728656901081649"
"2","10","-1","-0.5","4","5","5","100","15","22","9.848857801796104","11.40175425099138"
"3","10","-1","0","4","5","5","100","15","24","8.246211251235321","7.615773105863909"
"1","10","-1","-1","4","5","5","100","15","14","7.810249675906654","11.40175425099138"
"2","10","-1","-0.5","4","5","5","100","15","23","9.559519696952275","10.6478150704935"
"3","10","-1","0","4","5","5","100","15","25","9.219544457292887","7.141085181396727"
"2","10","-1","-0.5","4","5","5","100","15","24","9.055385138137417","10.295630140987"
"3","10","-1","0","4","5","5","100","15","26","9.219544457292887","6.4031242374328485"
"2","10","-1","-0.5","4","5","5","100","15","25","8.30313074680804","8.031128874149275"
"1","10","-1","-1","4","5","5","100","15","15","8.028230463570988","10.34001071692777"
"3","10","-1","0","4","5","5","100","15","27","8.154234499766936","6.041381265149109"
"2","10","-1","-0.5","4","5","5","100","15","26","7.211102550927978","7.280109889280518"
"3","10","-1","0","4","5","5","100","15","28","7.615773105863909","6"
"3","10","-1","0","4","5","5","100","15","29","7.615773105863909","6.082762530298219"
"2","10","-1","-0.5","4","5","5","100","15","27","7.0710678118654755","7.141085181396727"
"1","10","-1","-1","4","5","5","100","15","16","8.06225774829855","10.04987562112089"
"3","10","-1","0","4","5","5","100","15","30","6.4031242374328485","6.082762530298219"
"3","10","-1","0","4","5","5","100","15","31","7.035533905932738","6.082762530298219"
"2","10","-1","-0.5","4","5","5","100","15","28","6.708203932499369","7"
"3","10","-1","0","4","5","5","100","15","32","6.4031242374328485","6.082762530298219"
"2","10","-1","-0.5","4","5","5","100","15","29","6.8896358721824225","6.708203932499369"
"2","10","-1","-0.5","4","5","5","100","15","30","6.324555320336759","6.708203932499369"
"1","10","-1","-1","4","5","5","100","15","17","7.280109889280518","9.924428900898052"
"3","10","-1","0","4","5","5","100","15","33","5.99070478491457","6.041381265149109"
"2","10","-1","-0.5","4","5","5","100","15","31","6.516379626418065","7.035533905932738"
"3","10","-1","0","4","5","5","100","15","34","5.656854249492381","6.082762530298219"
"2","10","-1","-0.5","4","5","5","100","15","32","6.708203932499369","6.708203932499369"
"3","10","-1","0","4","5","5","100","15","35","5.521009528313442","5.82842712474619"
"1","10","-1","-1","4","5","5","100","15","18","7.810249675906654","8.94427190999916"
"2","10","-1","-0.5","4","5","5","100","15","33","6.324555320336759","6.555664084966109"
"3","10","-1","0","4","5","5","100","15","36","5.656854249492381","6.708203932499369"
"2","10","-1","-0.5","4","5","5","100","15","34","6.324555320336759","6.708203932499369"
"3","10","-1","0","4","5","5","100","15","37","6.363839778884804","6.708203932499369"
"2","10","-1","-0.5","4","5","5","100","15","35","6.324555320336759","6.555664084966109"
"3","10","-1","0","4","5","5","100","15","38","6.708203932499369","7.0710678118654755"
"2","10","-1","-0.5","4","5","5","100","15","36","6.324555320336759","7.0710678118654755"
"1","10","-1","-1","4","5","5","100","15","19","7.280109889280518","8.999828524068288"
"3","10","-1","0","4","5","5","100","15","39","6.555664084966109","6.395483231398794"
"2","10","-1","-0.5","4","5","5","100","15","37","5.9568572125717605","6.555664084966109"
"3","10","-1","0","4","5","5","100","15","40","6.4031242374328485","6.708203932499369"
"3","10","-1","0","4","5","5","100","15","41","6.324555320336759","5.9568572125717605"
"2","10","-1","-0.5","4","5","5","100","15","38","6.082762530298219","6.324555320336759"
"3","10","-1","0","4","5","5","100","15","42","6.4031242374328485","5.830951894845301"
"2","10","-1","-0.5","4","5","5","100","15","39","6.203658925317489","6.203658925317489"
"1","10","-1","-1","4","5","5","100","15","20","8","8.48528137423857"
"3","10","-1","0","4","5","5","100","15","43","6.555664084966109","6.854101966249685"
"2","10","-1","-0.5","4","5","5","100","15","40","6.324555320336759","6.324555320336759"
"3","10","-1","0","4","5","5","100","15","44","6.324555320336759","6.708203932499369"
"2","10","-1","-0.5","4","5","5","100","15","41","6.203658925317489","6.203658925317489"
"1","10","-1","-1","4","5","5","100","15","21","8.031128874149275","8.154234499766936"
"3","10","-1","0","4","5","5","100","15","45","6.324555320336759","5.743903072168841"
"2","10","-1","-0.5","4","5","5","100","15","42","6.082762530298219","6.082762530298219"
"3","10","-1","0","4","5","5","100","15","46","6.324555320336759","6.082762530298219"
"2","10","-1","-0.5","4","5","5","100","15","43","5.7339636687163615","6.708203932499369"
"3","10","-1","0","4","5","5","100","15","47","6.324555320336759","6.041381265149109"
"3","10","-1","0","4","5","5","100","15","48","6","5.830951894845301"
"1","10","-1","-1","4","5","5","100","15","22","8","8.246211251235321"
"2","10","-1","-0.5","4","5","5","100","15","44","5.0990195135927845","6.082762530298219"
"3","10","-1","0","4","5","5","100","15","49","5.82842712474619","6"
"3","10","-1","0","4","5","5","100","15","50","5.385164807134504","5.830951894845301"
"2","10","-1","-0.5","4","5","5","100","15","45","5.242092160363644","5.692582403567252"
