percent-grammar-1,logistic?,alpha,gamma,mean_state,nodes _09
55,true,0.025,0.02,0.6255916007772406,0.29
55,true,0.025,0.02,0.6190517771075033,0.2
55,true,0.025,0.02,0.6227552786763035,0.35
55,true,0.025,0.02,0.6160833866741753,0.25
55,true,0.025,0.02,0.6378174107898229,0.31
55,true,0.025,0.02,0.6116074088578599,0.39
55,true,0.025,0.02,0.6117654709791285,0.31
55,true,0.025,0.02,0.615547643865878,0.38
55,true,0.025,0.02,0.6262780999169802,0.31
55,true,0.025,0.02,0.6309080418455835,0.31
55,true,0.025,0.02,0.6118243169371258,0.27
55,true,0.025,0.02,0.6278561018772773,0.3
55,true,0.025,0.02,0.6079228882206156,0.28
55,true,0.025,0.02,0.6133989430545767,0.37
55,true,0.025,0.02,0.6088879659939365,0.3
55,true,0.025,0.02,0.6165365397646105,0.3
55,true,0.025,0.02,0.6250062049330815,0.29
55,true,0.025,0.02,0.6295163756961898,0.3
55,true,0.025,0.02,0.616830523582384,0.31
55,true,0.025,0.02,0.6303036197795857,0.29
55,true,0.025,0.03,0.67683335027057,0.37
55,true,0.025,0.03,0.6806772681828877,0.38
55,true,0.025,0.03,0.6662997512639983,0.41
55,true,0.025,0.03,0.6685232423596785,0.32
55,true,0.025,0.03,0.6793897076264248,0.31
55,true,0.025,0.03,0.6754283511507595,0.37
55,true,0.025,0.03,0.6897896928841358,0.35
55,true,0.025,0.03,0.676739795845454,0.37
55,true,0.025,0.03,0.6701238746805767,0.39
55,true,0.025,0.03,0.6660800513179912,0.32
55,true,0.025,0.03,0.6558097059412603,0.29
55,true,0.025,0.03,0.6517298162906866,0.27
55,true,0.025,0.03,0.6660266936275872,0.32
55,true,0.025,0.03,0.6754702931294537,0.31
55,true,0.025,0.03,0.6531692084035963,0.32
55,true,0.025,0.03,0.651705597748029,0.32
55,true,0.025,0.03,0.6650183626283451,0.29
55,true,0.025,0.03,0.6675399179420506,0.32
55,true,0.025,0.03,0.6646006722829856,0.38
55,true,0.025,0.03,0.6704200131961814,0.33
55,true,0.025,0.04,0.7573758228236269,0.44
55,true,0.025,0.04,0.6817982935447334,0.35
55,true,0.025,0.04,0.7527149740295472,0.36
55,true,0.025,0.04,0.731935713696178,0.4
55,true,0.025,0.04,0.7448720867253564,0.36
55,true,0.025,0.04,0.7275472398987937,0.4
55,true,0.025,0.04,0.734822891703016,0.33
55,true,0.025,0.04,0.7191121346501435,0.35
55,true,0.025,0.04,0.7654096533949847,0.43
55,true,0.025,0.04,0.7580616390870247,0.4
55,true,0.025,0.04,0.72855914480445,0.31
55,true,0.025,0.04,0.7168596887369664,0.37
55,true,0.025,0.04,0.7221355863376097,0.4
55,true,0.025,0.04,0.7168038729462777,0.35
55,true,0.025,0.04,0.740183826724176,0.36
55,true,0.025,0.04,0.7502090890768097,0.4
55,true,0.025,0.04,0.7191665223036975,0.34
55,true,0.025,0.04,0.7078373374934285,0.26
55,true,0.025,0.04,0.7193027136631123,0.37
55,true,0.025,0.04,0.7250545373360927,0.36
55,true,0.03,0.02,0.6148073144037403,0.32
55,true,0.03,0.02,0.6228023813165808,0.33
55,true,0.03,0.02,0.6349443535649977,0.39
55,true,0.03,0.02,0.6211047545411449,0.31
55,true,0.03,0.02,0.6148794134827328,0.32
55,true,0.03,0.02,0.6082299968900324,0.32
55,true,0.03,0.02,0.6303661569611366,0.35
55,true,0.03,0.02,0.6493238072976605,0.38
55,true,0.03,0.02,0.6236546604919301,0.38
55,true,0.03,0.02,0.6105961944913069,0.26
55,true,0.03,0.02,0.6466693515684939,0.33
55,true,0.03,0.02,0.6039181822990186,0.27
55,true,0.03,0.02,0.62653881360336,0.32
55,true,0.03,0.02,0.632775387730225,0.35
55,true,0.03,0.02,0.6383217798170504,0.29
55,true,0.03,0.02,0.6362697974866199,0.34
55,true,0.03,0.02,0.6040925957602826,0.27
55,true,0.03,0.02,0.620859094078554,0.34
55,true,0.03,0.02,0.6322555274540801,0.33
55,true,0.03,0.02,0.6223689160577418,0.39
55,true,0.03,0.03,0.684387764866706,0.38
55,true,0.03,0.03,0.6958317014488994,0.33
55,true,0.03,0.03,0.6961510759803291,0.35
55,true,0.03,0.03,0.6610145341700691,0.33
55,true,0.03,0.03,0.6971069160161947,0.33
55,true,0.03,0.03,0.6709514190802157,0.38
