pinch-chance,pinch-time,super-level,step,avg-super-score,avg-normal-score,gap-super-normal,avg-super-score_effect_diff,avg-normal-score_effect_diff
0.1,0,high,1,163.49235949508008,117.21012848717959,46.28223100790049,56.24235949508009,49.77769605474714
0.1,0,high,1,166.63363802863802,122.36574082684764,44.26789720179035,55.483638028638026,49.771146232253045
0.1,0,low,1,72.05659969115852,131.89281354590952,-59.83621385475102,52.25659969115852,49.582002735098726
0.1,0,low,1,69.9227555124614,138.31027661809395,-68.38752110563249,53.12275551246139,49.64811445593179
0.1,0,high,1,157.41613747363746,122.84948212010903,34.56665535352839,53.76613747363747,49.33596860659552
0.1,0,low,1,74.42520174270174,137.5796651324128,-63.154463389711026,53.87520174270175,49.30939486214254
0.1,0,high,1,172.5979975579976,120.04000456245035,52.55799299554718,53.497997557997564,50.90486942731524
0.1,0,high,2,176.025,115.14323706750172,60.88176293249826,58.775,39.422516346781066
0.1,0,low,1,79.9090177147414,127.13372097857393,-47.22470326383248,56.35901771474139,49.2012885461415
0.1,0,high,1,164.76349206349207,117.95828376335342,46.80520830013866,53.16349206349206,49.282608087677765
0.1,0,low,2,47.43949346405229,132.63713575540206,-85.19764229134974,21.639493464052286,41.49749611576235
0.1,0,low,2,64.01383394383394,140.4964869949003,-76.48265305106635,45.21383394383394,43.27576627417959
0.1,0,low,2,68.64704545454546,141.40945662408515,-72.76241116953966,45.09704545454545,44.94098815561666
0.1,0,high,3,184.21166666666664,121.23141685575891,62.98024981090771,56.961666666666666,36.86204748638959
0.1,0,high,2,191.75055555555556,118.1078349617823,73.64272059377323,62.650555555555556,41.04477189871927
0.1,0,low,3,44.622549019607845,140.4480833796237,-95.82553436001578,10.822549019607843,39.21835364989388
0.1,0,high,2,182.72111111111107,122.43676455886204,60.28434655224902,61.5711111111111,42.00433212642967
0.1,0,low,3,59.94915861915862,147.18985434732335,-87.2406957281647,31.149158619158623,40.41958407705312
0.1,0,high,2,174.6745238095238,116.59540446974657,58.07911933977725,53.074523809523804,39.54135041569253
0.1,0,low,2,52.10977272727273,129.44303769501138,-77.33326496773866,21.559772727272723,43.22231697429065
0.1,0,high,2,162.68130036630038,124.80455010396955,37.876750262330816,49.03130036630037,43.27301857243809
0.1,0,high,4,192.425,128.56381077189897,63.86118922810104,55.175,34.554801762890015
0.1,0,low,4,44.36666666666667,148.20098778922306,-103.83432112255642,8.566666666666666,37.962249050484346
0.1,0,high,3,202.61499999999998,121.8555191469665,80.75948085303347,64.51499999999999,35.332996624444
0.1,0,low,3,61.25916666666667,146.20171819355255,-84.94255152688585,28.70916666666667,40.634150625984965
0.1,0,low,4,61.769230769230774,155.79897034649355,-94.02973957726275,25.969230769230773,40.19987124739448
0.1,0,high,5,202.31624999999997,138.15607469229755,64.16017530770239,55.066250000000004,34.9578764940994
0.1,0,high,3,187.69,121.3006964815788,66.38930351842114,56.09000000000001,34.51691269779506
0.1,0,low,3,51.9125,135.56693227196322,-83.65443227196326,14.3625,39.796662001692944
0.1,0,high,4,212.79833333333335,130.61487998987994,82.18345334345335,63.69833333333334,35.533798908798914
0.1,0,high,3,189.18,126.75567881070975,62.4243211892902,58.02999999999999,36.50342655845753
0.1,0,low,5,50.06666666666667,158.67605619645096,-108.6093895297843,9.266666666666667,39.1580381784329
0.1,0,low,4,64.74916666666667,155.38504885710768,-90.63588219044101,27.199166666666667,40.44811192017074
0.1,0,high,3,170.6815079365079,129.6946961833572,40.986811753150704,47.03150793650794,38.97397546263644
0.1,0,low,5,63.12411477411477,164.32186874052192,-101.19775396640723,19.324114774114776,39.803850722503974
0.1,0,high,6,209.8492105263158,145.76729009275454,64.08192043356132,52.59921052631579,34.19071351617791
0.1,0,low,4,56.64178571428572,144.97630990788886,-88.33452419360312,16.091785714285713,39.296129727708674
0.1,0,high,4,194.30055555555558,130.45275266238886,63.84780289316666,52.70055555555556,34.65995986959611
0.1,0,low,5,69.12194570135748,162.61532139523624,-93.49337569387876,23.571945701357468,38.669375449290314
0.1,0,high,5,226.8392307692308,138.20471487704464,88.63451589218627,67.73923076923079,34.2047148770446
0.1,0,low,6,54.21,166.66382023576298,-112.45382023576298,10.41,37.77643284837556
0.1,0,high,4,201.50166666666664,134.50641758219163,66.99524908447503,60.35166666666667,35.42533650111049
0.1,0,high,7,224.70444444444442,154.31993152124738,70.38451292319704,57.45444444444445,34.27488647620225
0.1,0,high,4,175.47,137.79886778636777,37.67113221363218,41.82,37.16823715573717
0.1,0,low,6,66.9830869783811,174.22222264126287,-107.23913566288178,19.183086978381095,41.41591633495657
0.1,0,high,5,208.65458333333336,137.18078990757007,71.47379342576332,57.05458333333333,33.1897989165791
0.1,0,low,5,58.19096153846154,153.7090763524587,-95.51811481399713,13.64096153846154,39.01988716326951
0.1,0,high,6,236.22826923076923,147.96349258555148,88.26477664521778,67.12826923076923,34.9544835765424
0.1,0,low,6,74.9375,172.6599887744625,-97.72248877446236,19.3875,40.06539417986786
0.1,0,low,7,54.15,176.95961864564802,-122.80961864564807,9.35,38.43259161862104
0.1,0,high,5,209.16324786324785,142.96698896041,66.19625890283788,58.01324786324788,34.87689887031993
0.1,0,high,8,232.26,163.48346337885815,68.77653662114184,55.00999999999999,34.51949941489415
0.1,0,low,7,70.81367521367522,180.8453001401531,-110.03162492647789,19.013675213675214,39.66061545546841
0.1,0,high,5,183.98118881118882,145.5275133654391,38.45367544574975,40.33118881118881,35.34733318525887
0.1,0,high,6,213.21472222222218,147.1390683917,66.07565383052221,51.61472222222221,34.58951884215042
0.1,0,low,6,62.95955128205128,162.44336215849378,-99.48381087644248,15.409551282051282,39.01543423056581
0.1,0,low,7,74.95464285714284,179.72353952342343,-104.76889666628055,15.404642857142857,39.11092691081081
0.1,0,high,7,246.76500000000001,156.23347670994733,90.53152329005275,67.66499999999999,34.395638872109465
0.1,0,low,8,58.216666666666676,185.9256680639034,-127.70900139723668,10.416666666666668,37.84909148732678
0.1,0,high,6,217.24055555555555,151.58205187717576,65.65850367837982,56.090555555555554,34.30277259789643
0.1,0,high,6,195.28357142857143,154.71960254371243,40.563968884858895,42.63357142857143,35.71059353470344
0.1,0,low,8,72.5905982905983,189.16280856629146,-116.57221027569325,17.79059829059829,39.23938514286814
0.1,0,high,9,242.38000000000002,172.67618487560443,69.70381512439562,55.129999999999995,34.79330199272149
0.1,0,low,7,64.70694444444445,172.08917596417595,-107.38223151973153,14.156944444444443,39.111698486698494
