run,transportation-cost,traffic-lights?,high-income-percentage,alpha,school-achievement,achievement
2,10,true,20,0.05,13514.918494394442,479.6845303109372
3,10,true,25,0.25,15759.502240956857,499.1755615965217
1,10,true,20,0.25,15493.095605913588,499.31034266215084
4,10,true,25,0.05,14100.741024537629,501.95043289510846
5,10,true,30,0.25,15855.36497850366,500.96617305666103
6,10,true,30,0.05,13949.081337620717,494.7373341613061
7,10,false,20,0.25,13464.773797976086,482.7434747725101
8,10,false,20,0.05,13561.543992831192,505.00483905559076
9,10,false,25,0.25,15086.718601594983,522.950312571252
10,10,false,25,0.05,13453.678362026823,503.23883593556377
11,10,false,30,0.25,14605.888982265675,501.8484681449167
12,10,false,30,0.05,13458.469720613286,492.0196269793237
13,20,true,20,0.25,14675.77032921862,479.0524889544701
14,20,true,20,0.05,13180.803701625207,488.3205923697886
15,20,true,25,0.25,14542.126130959428,496.73828243935344
16,20,true,25,0.05,13362.228097232843,480.09811759109846
17,20,true,30,0.25,14659.086173301079,498.02871676194434
18,20,true,30,0.05,13876.481750369398,504.41079654138576
19,20,false,20,0.25,14558.837133775683,522.388637328019
20,20,false,20,0.05,13469.151148766194,512.3045387937029
21,20,false,25,0.25,13534.129344860512,482.9407080822756
22,20,false,25,0.05,13528.107001176299,503.7606982991872
23,20,false,30,0.25,13418.946365195476,498.4360560392573
24,20,false,30,0.05,13481.281830247764,505.3046150888511
25,30,true,20,0.25,12536.806845035358,480.84371996566216
26,30,true,20,0.05,10810.831702940402,499.854684935944
27,30,true,25,0.25,13388.938926323357,505.6763386903955
28,30,true,25,0.05,12721.394550895042,519.0580409466352
29,30,true,30,0.25,13051.926189805956,495.1944317618033
30,30,true,30,0.05,12359.276422754025,508.62591651580607
31,30,false,20,0.25,12096.04030815387,499.7040917554121
32,30,false,20,0.05,11712.161481669476,496.7168988629728
33,30,false,25,0.25,11908.999436377777,508.56545253684965
34,30,false,25,0.05,12376.475964681904,519.2274355178234
35,30,false,30,0.25,12304.179621053685,498.6818881572192
36,30,false,30,0.05,11849.713377465416,497.7289937361461
37,40,true,20,0.25,10333.27950288189,505.4111897542925
38,40,true,20,0.05,9516.630910690134,495.82301825303887
39,40,true,25,0.25,9933.651057799063,497.0864408688945
40,40,true,25,0.05,9821.243146735851,512.110671191047
41,40,true,30,0.25,10461.886346197847,493.3233067330615
42,40,true,30,0.05,9490.41908288472,485.20945569236466
43,40,false,20,0.25,10059.175397337905,498.8442776021115
44,40,false,20,0.05,9115.863684637905,491.51321124541585
45,40,false,25,0.25,10131.827064709554,481.36445184614087
46,40,false,25,0.05,9546.01073391988,512.0246441576542
47,40,false,30,0.25,10259.985571334086,497.5593543860508
48,40,false,30,0.05,9347.287689990304,517.3059477542272
