"[run number]","visualization","%-similar-wanted","density","[step]","percent-similar","not happy"
"2","square-x","71","60","0","49.86537425955843","1233"
"3","square-x","72","60","0","51.02040816326531","1292"
"1","square-x","70","60","0","50.17393631255017","1252"
"2","square-x","71","60","1","53.20064550833782","1163"
"3","square-x","72","60","1","53.480691056910565","1201"
"1","square-x","70","60","1","54.163383241397426","1138"
"2","square-x","71","60","2","57.24887357540419","1056"
"3","square-x","72","60","2","55.89373226721692","1137"
"1","square-x","70","60","2","57.34720416124838","1044"
"2","square-x","71","60","3","58.70253164556962","1009"
"3","square-x","72","60","3","57.37955646189141","1083"
"2","square-x","71","60","4","59.99474651956922","976"
"3","square-x","72","60","4","59.362348178137644","1048"
"1","square-x","70","60","3","61.36537969828688","933"
"2","square-x","71","60","5","61.68562564632886","933"
"2","square-x","71","60","6","63.43589743589744","889"
"3","square-x","72","60","5","59.51592356687898","1035"
"3","square-x","72","60","6","61.07214428857716","1013"
"2","square-x","71","60","7","66.9260700389105","800"
"1","square-x","70","60","4","62.70325203252033","908"
"3","square-x","72","60","7","62.971285892634214","957"
"2","square-x","71","60","8","68.94884194451515","718"
"2","square-x","71","60","9","71.64480322906155","666"
"3","square-x","72","60","8","63.758723828514455","925"
"1","square-x","70","60","5","62.808008213552355","893"
"3","square-x","72","60","9","64.87025948103793","894"
"2","square-x","71","60","10","73.43117408906883","614"
"2","square-x","71","60","11","75.13148009015778","582"
"3","square-x","72","60","10","65.77433074806105","876"
"1","square-x","70","60","6","66.32032437911809","804"
"3","square-x","72","60","11","66.36251541307028","858"
"2","square-x","71","60","12","76.56288916562889","558"
"3","square-x","72","60","12","67.54130223517978","841"
"2","square-x","71","60","13","78.76216620913401","495"
"1","square-x","70","60","7","69.04702036711089","757"
"3","square-x","72","60","13","68.516255194329","804"
"2","square-x","71","60","14","82.1578817124474","424"
"2","square-x","71","60","15","83.34965719882467","379"
"3","square-x","72","60","14","70.47079122504314","756"
"3","square-x","72","60","15","71.7948717948718","732"
"1","square-x","70","60","8","70.21065675340769","712"
"2","square-x","71","60","16","85.57504873294347","338"
"3","square-x","72","60","16","74.46757018393029","677"
"2","square-x","71","60","17","86.69879518072288","299"
"3","square-x","72","60","17","75.69377990430623","632"
"2","square-x","71","60","18","87.55354593050927","280"
"1","square-x","70","60","9","73.0295566502463","637"
"3","square-x","72","60","18","77.30732635585157","588"
"2","square-x","71","60","19","88.90990777961693","250"
"3","square-x","72","60","19","77.89349112426035","572"
"2","square-x","71","60","20","90.01413094677343","237"
"3","square-x","72","60","20","78.33926453143535","563"
"2","square-x","71","60","21","90.04461141112937","230"
"1","square-x","70","60","10","75.53111722069482","582"
"2","square-x","71","60","22","90.58988764044943","226"
"3","square-x","72","60","21","78.52237745678427","538"
"2","square-x","71","60","23","92.03049203049203","174"
"3","square-x","72","60","22","79.67977395808806","523"
"2","square-x","71","60","24","94.23611111111111","144"
"3","square-x","72","60","23","80.17261488220201","504"
"2","square-x","71","60","25","94.40366972477065","128"
"3","square-x","72","60","24","80.0140745953554","514"
"1","square-x","70","60","11","78.32320777642771","508"
"3","square-x","72","60","25","83.3140476741495","446"
"2","square-x","71","60","26","94.97695852534562","113"
"3","square-x","72","60","26","84.04427023287987","417"
"2","square-x","71","60","27","95.62841530054644","101"
"1","square-x","70","60","12","79.49029126213593","464"
"2","square-x","71","60","28","96.21781727044885","78"
"3","square-x","72","60","27","85.03557493688318","399"
"3","square-x","72","60","28","86.45190769933745","349"
"2","square-x","71","60","29","96.78888635846049","70"
"3","square-x","72","60","29","88.23395539371872","312"
"2","square-x","71","60","30","96.65536723163842","70"
"1","square-x","70","60","13","82.09533026857004","436"
"3","square-x","72","60","30","88.49457504520795","298"
"2","square-x","71","60","31","96.84755685656383","72"
"3","square-x","72","60","31","89.20798743549473","273"
"2","square-x","71","60","32","96.73524150268337","58"
"2","square-x","71","60","33","97.99459215863001","42"
"3","square-x","72","60","32","90.26905829596413","255"
"2","square-x","71","60","34","97.73745519713262","33"
"3","square-x","72","60","33","91.43805309734513","219"
"2","square-x","71","60","35","98.03264028616141","28"
"1","square-x","70","60","14","82.54580520732884","393"
"3","square-x","72","60","34","92.38556338028168","180"
"2","square-x","71","60","36","98.47738468428123","20"
"3","square-x","72","60","35","93.4190117438511","163"
"2","square-x","71","60","37","98.87564650326063","14"
"3","square-x","72","60","36","94.68556244464128","153"
"1","square-x","70","60","15","84.61538461538461","362"
"2","square-x","71","60","38","98.87589928057554","13"
"3","square-x","72","60","37","94.68715697036224","136"
"2","square-x","71","60","39","99.01256732495511","12"
"3","square-x","72","60","38","95.06281683932114","135"
"3","square-x","72","60","39","95.65407294169033","120"
"1","square-x","70","60","16","86.82207421503331","327"
"2","square-x","71","60","40","99.12516823687753","11"
"3","square-x","72","60","40","96.25272331154684","94"
"3","square-x","72","60","41","96.58599827139153","83"
"1","square-x","70","60","17","87.53501400560224","297"
"2","square-x","71","60","41","99.10253533767109","9"
"2","square-x","71","60","42","99.26042133572389","7"
"3","square-x","72","60","42","97.35930735930735","71"
"2","square-x","71","60","43","99.19354838709677","5"
"1","square-x","70","60","18","88.47583643122677","284"
"2","square-x","71","60","44","99.50639443571909","3"
"3","square-x","72","60","43","96.95931477516059","70"
"3","square-x","72","60","44","97.53536219459923","54"
"2","square-x","71","60","45","99.43958753642681","3"
"3","square-x","72","60","45","97.70114942528735","44"
"1","square-x","70","60","19","90.03014143287736","233"
"2","square-x","71","60","46","99.32795698924731","3"
"3","square-x","72","60","46","98.50171232876713","36"
"2","square-x","71","60","47","99.44096601073346","1"
"3","square-x","72","60","47","99.07922912205568","23"
"2","square-x","71","60","48","99.39651318730442","1"
"2","square-x","71","60","49","99.39651318730442","1"
"3","square-x","72","60","48","99.02065147966788","15"
"3","square-x","72","60","49","99.17056571671628","11"
"3","square-x","72","60","50","99.21343537414967","10"
"1","square-x","70","60","20","91.41414141414141","212"
"2","square-x","71","60","50","99.4632073361664","1"
"1","square-x","70","60","21","92.03378224149738","194"
"4","square-x","73","60","0","52.48264815803524","1222"
"4","square-x","73","60","1","53.916449086161876","1160"
"1","square-x","70","60","22","92.8326866012326","180"
"5","square-x","74","60","0","50.3565551289084","1213"
"5","square-x","74","60","1","54.167812929848694","1135"
"4","square-x","73","60","2","55.74368325084657","1130"
"5","square-x","74","60","2","55.82855582855583","1080"
"1","square-x","70","60","23","93.08005427408412","167"
"4","square-x","73","60","3","57.20512820512821","1097"
"5","square-x","74","60","3","55.94234430242045","1080"
"1","square-x","70","60","24","93.82438805299797","156"
"4","square-x","73","60","4","58.825051759834366","1049"
"5","square-x","74","60","4","58.27474310438075","1045"
"5","square-x","74","60","5","59.597855227882036","990"
"4","square-x","73","60","5","61.092587843036675","980"
"5","square-x","74","60","6","61.17489986648865","950"
