NumberOfQuestions,NumberOfAnswers,QuestionsDistribution,AnswersDistribution,gini-index-questions,gini-index-answers
25,60,Power law,Power law,0.7459758022093635,0.7722393647192286
25,30,Power law,Power law,0.7599091394975949,0.776272458494428
50,30,Power law,Power law,0.7634086021505376,0.7723200908059025
50,60,Power law,Power law,0.7618679245283019,0.7814466421343147
25,30,Power law,Uniform,0.7595088930183169,0.3336963048961127
50,30,Power law,Uniform,0.7622267097469037,0.2730512187489134
25,60,Power law,Uniform,0.7578594249201278,0.3491757227413737
25,30,Uniform,Power law,0.33519898897058825,0.7786474198681519
25,30,Normal,Power law,0.18004680187207484,0.7847651933701658
25,60,Uniform,Power law,0.311414588937363,0.7719027100578296
25,60,Normal,Power law,0.18668276972624795,0.7744565464034492
50,60,Power law,Uniform,0.761686633463454,0.3432631291295394
25,30,Uniform,Uniform,0.34518861510327525,0.3918779342723005
25,30,Normal,Uniform,0.18904201680672272,0.37588324488248676
50,30,Uniform,Power law,0.32578167212566045,0.7766288308740067
50,60,Uniform,Power law,0.35656881359232756,0.7739048269581056
50,60,Normal,Power law,0.17175890175890174,0.7740345297592004
25,30,Power law,Normal,0.7583342260310658,0.16657694862909167
50,30,Normal,Power law,0.17331374853113984,0.7711422070534698
50,30,Power law,Normal,0.7614562323517547,0.1732708997914922
25,60,Power law,Normal,0.7581622911694511,0.18909794035104413
25,60,Uniform,Uniform,0.3212491146297438,0.343643437728726
50,60,Power law,Normal,0.7682359307359308,0.21021833976081966
25,30,Uniform,Normal,0.3232159571084556,0.20265856950067473
25,60,Normal,Uniform,0.17367961934972242,0.3200823598462617
50,30,Uniform,Uniform,0.35669926176933314,0.31139974779319046
25,60,Uniform,Normal,0.38669238440140663,0.1753729257316425
25,30,Normal,Normal,0.1761120263591434,0.21414266117969816
50,60,Uniform,Uniform,0.3370774541129276,0.32283260802713615
50,30,Normal,Uniform,0.15592996108949422,0.38945126353790616
50,30,Uniform,Normal,0.3698653074743311,0.19858688302907368
25,60,Normal,Normal,0.15978013646702052,0.17949489373447422
50,60,Normal,Uniform,0.16912223133716153,0.31938166311300636
50,60,Uniform,Normal,0.36518533191373465,0.20286242852337708
50,30,Normal,Normal,0.18178864970645792,0.15639281129653398
50,60,Normal,Normal,0.19957464553794835,0.19727396792903448
