academic_mobility_radius,Satisfaction_threshold,Base_Salary,Sch_Quality_Variation,total_teachers,teacher_turnover_rate,mean_school_vacancy_rate,satisfaction_inequality,mean_satisfaction_poor_schools,mean_satisfaction_good_schools,unemployment_rate,mean_satisfaction-all
5,0.1,1000,0.1,845,0.49058823529411766,0.9193333333333332,0.18086298021191127,0.2826086956521739,0.7802662037037041,0.002366863905325444,0.575215500197708
5,0.1,1000,0.1,807,0.4858823529411765,0.9560000000000002,0.15837315019388123,0.34506849315068544,0.7425938189845479,0.0024783147459727386,0.5734782608695623
5,0.1,1000,0.1,890,0.46941176470588236,0.9393333333333331,0.1772492104783463,0.3224742268041235,0.75086606243706,0.0022471910112359553,0.5613438438438415
5,0.1,1000,0.1,865,0.4764705882352941,0.9606666666666667,0.20096111047773274,0.31873605947955397,0.7622622345337032,0.004624277456647399,0.5543205574912888
5,0.1,1000,0.1,849,0.48823529411764705,0.989333333333333,0.20204830106120916,0.30414634146341474,0.7488288288288294,0.0035335689045936395,0.5635185185185155
5,0.1,1000,0.1,865,0.43529411764705883,0.9666666666666669,0.19473508435032227,0.315023923444976,0.7716272189349107,0.0023121387283236996,0.5761799922750108
5,0.1,1000,0.1,857,0.4811764705882353,0.9506666666666667,0.2171953405836501,0.2795945945945946,0.775567282321899,0.004667444574095682,0.5680304806565052
5,0.1,1000,0.1,872,0.4858823529411765,0.9640000000000002,0.17032015262990555,0.31803827751196184,0.7327679623085985,0.0022935779816513763,0.5422337164750946
5,0.1,1000,0.1,839,0.48,0.9466666666666669,0.18310811192758494,0.3105102040816326,0.7643333333333348,0.003575685339690107,0.5556738437001586
5,0.1,1000,0.1,869,0.4835294117647059,0.9866666666666667,0.21324550247148924,0.30022222222222256,0.7767035670356703,0.004602991944764097,0.5300732177263975
5,0.1,1000,0.1,867,0.4764705882352941,0.96,0.1874530333407832,0.3280377358490573,0.7864414414414416,0.00461361014994233,0.5343375820780208
5,0.1,1000,0.1,867,0.4717647058823529,0.9940000000000001,0.19452387116732336,0.30043918918918916,0.747359617682199,0.0057670126874279125,0.5226682134570749
5,0.1,1000,0.1,866,0.49411764705882355,0.9473333333333335,0.18521499636663993,0.31640883977900536,0.7496658516707402,0.0023094688221709007,0.5849614197530842
5,0.1,1000,0.1,851,0.4717647058823529,0.9460000000000004,0.1918528328848445,0.3027840909090908,0.7527197346600313,0.0035252643948296123,0.5870204402515687
5,0.1,1000,0.1,860,0.4835294117647059,0.9679999999999997,0.19047232569303907,0.32757462686567207,0.7474675324675328,0.0034883720930232558,0.5393621159082066
5,0.1,1000,0.1,864,0.48,0.9413333333333332,0.16779756330566278,0.3540825688073392,0.7580049566294924,0.0011574074074074073,0.5481923522595585
5,0.1,1000,0.1,857,0.48705882352941177,0.9553333333333334,0.1988172936740789,0.29276243093922655,0.768942222222222,0.003500583430571762,0.5779976580796246
5,0.1,1000,0.1,826,0.5223529411764706,0.9446666666666665,0.18225262540393974,0.31532051282051304,0.7663663663663673,0.002421307506053269,0.5774231391585757
5,0.1,1000,0.1,859,0.48705882352941177,0.948,0.18343413370969014,0.3234183673469387,0.7486666666666644,0.0034924330616996507,0.6004283489096534
5,0.1,1000,0.1,853,0.45294117647058824,0.9513333333333333,0.189329313095668,0.2667195767195768,0.7335449735449734,0.0035169988276670576,0.5651999999999986
5,0.1,1000,0.1,831,0.4788235294117647,0.9880000000000001,0.20023931828986444,0.32048543689320425,0.7757002801120447,0.0048134777376654635,0.5153688029020532
5,0.1,1000,0.1,830,0.4776470588235294,0.9660000000000002,0.18897343421172255,0.3281789137380199,0.7374349881796679,0.004819277108433735,0.5177441485068593
5,0.1,1000,0.1,863,0.4752941176470588,0.9726666666666666,0.19041284215695056,0.3087596899224805,0.7623466666666675,0.0034762456546929316,0.535980620155037
5,0.1,1000,0.1,865,0.48823529411764705,0.9859999999999997,0.21318161479343323,0.3007812500000003,0.7706270627062717,0.004624277456647399,0.5328571428571397
5,0.1,1000,0.1,854,0.5152941176470588,0.9933333333333333,0.18811231141591256,0.3240852130325822,0.7337865497076038,0.00585480093676815,0.48271692186886417
5,0.1,1000,0.1,854,0.46,0.9426666666666667,0.19773261563814729,0.3046540880503145,0.7641851851851835,0.00234192037470726,0.6039358372456951
5,0.1,1000,0.1,872,0.4647058823529412,0.9699999999999999,0.18021494375914085,0.2970560747663549,0.7357172995780608,0.0034403669724770644,0.5580398925968535
5,0.1,1000,0.1,869,0.4576470588235294,0.9586666666666666,0.18642312471082,0.31673228346456705,0.7512181616832796,0.0034522439585730723,0.5473979984603523
5,0.1,1000,0.1,873,0.48705882352941177,0.9506666666666664,0.1974646702935002,0.29769230769230787,0.7574299065420528,0.003436426116838488,0.5883141762452072
5,0.1,1000,0.1,858,0.4411764705882353,0.976666666666667,0.1627383166400564,0.3303787878787883,0.7340096618357496,0.0034965034965034965,0.5186120857699793
5,0.1,1000,0.1,877,0.4835294117647059,0.94,0.17104576847336478,0.3322222222222222,0.7500485908649184,0.002280501710376283,0.5701790476190446
5,0.1,1000,0.1,846,0.46,0.9446666666666665,0.18810268341417993,0.30509803921568646,0.7675000000000002,0.0035460992907801418,0.5537643337287451
5,0.1,1000,0.1,882,0.47294117647058825,0.9653333333333333,0.19867945092836725,0.31717842323651446,0.7764306784660775,0.003401360544217687,0.5551535836177466
5,0.1,1000,0.1,876,0.4811764705882353,0.9460000000000001,0.19619867692113596,0.2766666666666666,0.7873674752920033,0.00228310502283105,0.5913653699466062
5,0.1,1000,0.1,854,0.4623529411764706,0.9573333333333331,0.19163730972225584,0.32402597402597433,0.7518648648648638,0.00234192037470726,0.5836776212832517
5,0.1,1000,0.1,808,0.4894117647058824,0.9480000000000003,0.20579361202489102,0.30837696335078546,0.7746615252784906,0.0037128712871287127,0.5895320910973079
5,0.1,1000,0.1,863,0.44588235294117645,0.9386666666666668,0.2040197394741766,0.27905027932960885,0.7546592592592555,0.0034762456546929316,0.5954457364341053
5,0.1,1000,0.1,857,0.4752941176470588,0.9280000000000002,0.1694397695871785,0.3331137724550898,0.7546855345911966,0.002333722287047841,0.5721988304093545
5,0.1,1000,0.1,842,0.48,0.9259999999999998,0.16959716068317202,0.31249999999999983,0.7443570843570817,0.0023752969121140144,0.6036150793650744
5,0.1,1000,0.1,844,0.48705882352941177,0.9426666666666665,0.19233057256075628,0.2786792452830189,0.7695196078431366,0.0035545023696682463,0.5800951248513652
5,0.1,1000,0.1,853,0.48823529411764705,0.9593333333333334,0.17980401798674406,0.3426058631921835,0.7347045707915283,0.0035169988276670576,0.5268666666666653
5,0.1,1000,0.1,875,0.4682352941176471,0.9926666666666667,0.18746778479530601,0.3278550724637679,0.7555078683834057,0.004571428571428572,0.5084577114427852
5,0.1,1000,0.1,877,0.47294117647058825,0.9420000000000001,0.18718697756383293,0.2817919075144509,0.7606349206349217,0.0034207525655644243,0.5725476735316531
5,0.1,1000,0.1,866,0.4423529411764706,0.9606666666666667,0.18337792657181767,0.31402654867256624,0.746983184965382,0.003464203233256351,0.5564928543839308
5,0.1,1000,0.1,860,0.4823529411764706,0.9486666666666665,0.17886066130344702,0.31961111111111107,0.7471636675235638,0.002325581395348837,0.5917132867132832
5,0.1,1000,0.1,860,0.4541176470588235,0.9473333333333332,0.18888281714275312,0.3186699507389165,0.7472153972153966,0.002325581395348837,0.5809362859362831
5,0.1,1000,0.1,856,0.46705882352941175,0.9886666666666667,0.16803056730715868,0.3440988372093032,0.7173333333333344,0.004672897196261682,0.5033763693270727
5,0.1,1000,0.1,885,0.47058823529411764,0.9453333333333336,0.19888762805128155,0.29752688172043,0.776094961240309,0.003389830508474576,0.5736054421768717
5,0.1,1000,0.3,862,0.4623529411764706,0.9553333333333334,0.2879908297778894,0.13700716845878116,0.8545161290322609,0.0034802784222737818,0.5860845944897184
5,0.1,1000,0.1,859,0.47058823529411764,0.9720000000000001,0.19434956510812773,0.2854506437768241,0.7519382716049391,0.004656577415599534,0.5366861598440544
5,0.1,1000,0.3,907,0.48,0.9573333333333335,0.28495194572210836,0.11588571428571429,0.8383747178329584,0.0033076074972436605,0.604528023598821
5,0.1,1000,0.1,842,0.45176470588235296,0.9619999999999999,0.1824280140884924,0.3074999999999997,0.7554599761051383,0.0023752969121140144,0.5499047619047617
5,0.1,1000,0.3,865,0.46705882352941175,0.95,0.24015126881839002,0.11943775100401588,0.8084951456310686,0.003468208092485549,0.5225406032482611
5,0.1,1000,0.3,843,0.4764705882352941,0.9453333333333334,0.25336850205435374,0.14948888888888884,0.8412540192926075,0.002372479240806643,0.569896948077687
5,0.1,1000,0.3,900,0.4682352941176471,0.9906666666666668,0.32838845883640155,0.134983713355049,0.856543535620056,0.006666666666666667,0.5270395227442206
5,0.1,1000,0.3,880,0.4858823529411765,0.9246666666666666,0.2258009577895938,0.196196319018405,0.7953982300884984,0.003409090909090909,0.569977194982899
5,0.1,1000,0.3,862,0.45647058823529413,0.9593333333333331,0.29583475752665617,0.15420289855072447,0.824503816793897,0.00580046403712297,0.5461376896149368
5,0.1,1000,0.3,831,0.5070588235294118,0.9513333333333335,0.2798481975448522,0.14059139784946217,0.8357894736842134,0.0036101083032490976,0.5588043478260897
5,0.1,1000,0.3,842,0.4823529411764706,0.9800000000000002,0.2994261477561978,0.1214583333333332,0.8408385093167735,0.004750593824228029,0.5428162291169468
5,0.1,1000,0.3,853,0.4611764705882353,0.9413333333333335,0.26303051747798406,0.1759053497942385,0.8442592592592624,0.0023446658851113715,0.5943517430473969
5,0.1,1000,0.3,845,0.5023529411764706,0.9740000000000003,0.28339678992433603,0.16061333333333339,0.8204242424242463,0.004733727810650888,0.536460562822039
5,0.1,1000,0.3,891,0.4752941176470588,0.9593333333333331,0.25916438045607165,0.11454880294659299,0.8356653992395469,0.003367003367003367,0.538288288288291
5,0.1,1000,0.3,874,0.4835294117647059,0.9813333333333333,0.2553670294873955,0.13691740412979334,0.8017874396135275,0.004576659038901602,0.5064022988505749
5,0.1,1000,0.3,830,0.47411764705882353,0.9466666666666671,0.2623095603318425,0.15113475177304964,0.8420478723404295,0.0024096385542168677,0.6055394524959764
5,0.1,1000,0.3,869,0.4682352941176471,0.9473333333333332,0.25664293698105417,0.12858024691358017,0.8188923076923101,0.0034522439585730723,0.5643418013856853
5,0.1,1000,0.3,854,0.45647058823529413,0.9686666666666668,0.2676801971700089,0.16183625730994186,0.8122566371681424,0.00585480093676815,0.48371024734982365
5,0.1,1000,0.3,871,0.4435294117647059,0.9640000000000003,0.28723684463281046,0.1432414698162728,0.8274061433447126,0.004592422502870264,0.5305536332179935
5,0.1,1000,0.3,913,0.4411764705882353,0.9326666666666668,0.25476128809170706,0.12727619047619046,0.8091304347826114,0.0032858707557502738,0.5644432234432244
5,0.1,1000,0.3,796,0.5247058823529411,0.96,0.2774999810177403,0.16792792792792777,0.8476276276276307,0.0037688442211055275,0.5820680958385883
5,0.1,1000,0.3,826,0.5023529411764706,0.9586666666666668,0.24806284013506405,0.14256756756756744,0.8286111111111112,0.004842615012106538,0.4853203568532045
5,0.1,1000,0.3,860,0.4811764705882353,0.9726666666666667,0.2916718498278517,0.13680272108843528,0.8433757961783465,0.004651162790697674,0.5272429906542073
5,0.1,1000,0.3,848,0.4823529411764706,0.996,0.30274737368962223,0.1536067297581494,0.8314383561643863,0.007075471698113208,0.5028266033254174
5,0.1,1000,0.3,852,0.48,0.9760000000000001,0.29543660517141085,0.13794628751974689,0.8402088772845976,0.004694835680751174,0.5779520440251574
5,0.1,1000,0.3,830,0.5,0.9446666666666668,0.25544131595122443,0.1501657458563536,0.834453125000001,0.0036144578313253013,0.5451632406287794
5,0.1,1000,0.3,863,0.4811764705882353,0.956666666666667,0.26466786586667473,0.16204301075268823,0.8591774891774913,0.004634994206257242,0.5181412495149408
5,0.1,1000,0.3,858,0.47411764705882353,0.9686666666666666,0.2830399424545508,0.12146487294469337,0.812242990654209,0.004662004662004662,0.5379859484777522
