num-grain-grown,percent-best-land,metabolism-max,max-vision,num-people,grain-growth-interval,life-expectancy-min,turtles,life-expectancy-max,red,green,blue,gini-index-reserve / num-people
2,10,5,3,250,1,5,250,70,69,83,98,0.1485929620393462
2,10,5,3,250,1,5,250,60,85,83,82,0.1534260563380281
2,10,5,3,250,1,5,250,50,76,97,77,0.14186833855799366
2,10,5,3,250,1,5,250,50,73,107,70,0.13545197670095435
2,10,5,3,250,1,5,250,60,74,107,69,0.13617009803921568
2,10,5,3,250,1,5,250,50,71,131,48,0.12513774448605913
2,10,5,3,250,1,5,250,70,60,94,96,0.12914925714285708
2,10,5,3,250,1,5,250,60,81,129,40,0.13136386241193543
2,10,5,3,250,1,5,250,70,60,114,76,0.12415275105809928
2,10,5,3,250,1,5,250,50,75,141,34,0.1235583700440529
2,10,5,3,250,1,5,250,70,64,126,60,0.12582847457627122
2,10,5,3,250,1,5,250,60,88,125,37,0.13295627032887605
2,10,5,3,250,1,5,250,70,79,127,44,0.13119538412899148
2,10,5,3,250,1,5,250,60,92,132,26,0.13280009883864594
2,10,5,3,250,1,5,250,50,89,132,29,0.1337573845209923
2,10,5,3,250,1,5,250,70,93,124,33,0.14141526599845797
2,10,5,3,250,1,5,250,60,115,116,19,0.13927213622291013
2,10,5,3,250,1,5,250,50,98,120,32,0.13959384666833877
2,10,5,3,250,1,5,250,60,134,106,10,0.14251340039650498
2,10,5,3,250,1,5,250,50,113,112,25,0.14487961165048543
2,10,5,3,250,1,5,250,70,118,109,23,0.15055954407519787
2,10,5,3,250,1,5,250,50,113,111,26,0.1525681094844048
2,10,5,3,250,1,5,250,70,133,100,17,0.1588465991316933
2,10,5,3,250,1,5,250,60,145,97,8,0.15020021329541408
2,10,5,3,250,1,5,250,50,116,113,21,0.15684082775789643
2,10,5,3,250,1,5,250,70,108,116,26,0.16031378091872783
2,10,5,3,250,1,5,250,60,158,84,8,0.15694416951279017
2,10,5,3,250,1,5,250,50,120,110,20,0.16388611778846154
2,10,5,3,250,1,5,250,60,157,86,7,0.15941498460485798
2,10,5,3,250,1,5,250,70,107,105,38,0.15943302517038946
2,10,5,3,250,1,5,250,50,137,95,18,0.16967034277198217
2,10,5,3,250,1,5,250,50,149,89,12,0.17687647451591376
2,10,5,3,250,1,5,250,70,120,100,30,0.1670038474519069
2,10,5,3,250,1,5,250,60,163,78,9,0.16457728770254826
2,10,5,3,250,1,5,250,50,157,84,9,0.1767011866235168
2,10,5,3,250,1,5,250,70,132,94,24,0.16820414046121596
2,10,5,3,250,1,5,250,60,162,77,11,0.1666989361702127
2,10,5,3,250,1,5,250,50,162,80,8,0.18385434412265764
2,10,5,3,250,1,5,250,70,130,93,27,0.17036268504338944
2,10,5,3,250,1,5,250,50,166,77,7,0.18722644124168528
2,10,5,3,250,1,5,250,60,164,68,18,0.180409602805314
2,10,5,3,250,1,5,250,70,134,96,20,0.16955933456561917
2,10,5,3,250,1,5,250,60,166,66,18,0.18339798841004476
2,10,5,3,250,1,5,250,50,174,69,7,0.19164687826996854
2,10,5,3,250,1,5,250,70,144,85,21,0.1732306086102071
2,10,5,3,250,1,5,250,60,174,59,17,0.18764769719428273
2,10,5,3,250,1,5,250,70,145,86,19,0.17201035159735856
2,10,5,3,250,1,5,250,50,179,64,7,0.1919749930536258
2,10,5,3,250,1,5,250,70,138,87,25,0.1740916822486279
2,10,5,3,250,1,5,250,60,169,62,19,0.18820273407273672
2,10,5,3,250,1,5,250,50,185,59,6,0.1904768006759135
2,10,5,3,250,1,5,250,60,167,65,18,0.19450555986552903
2,10,5,3,250,1,5,250,50,182,62,6,0.19803783031988886
2,10,5,3,250,1,5,250,60,177,60,13,0.19084042886701352
2,10,5,3,250,1,5,250,70,146,84,20,0.1781661396253953
2,10,5,3,250,1,5,250,60,180,60,10,0.1906023005384238
2,10,5,3,250,1,5,250,50,187,56,7,0.20046248171114067
2,10,5,3,250,1,5,250,60,183,55,12,0.202945300318094
2,10,5,3,250,1,5,250,70,157,75,18,0.1798319006685768
2,10,5,3,250,1,5,250,60,181,56,13,0.21195575000000003
2,10,5,3,250,1,5,250,50,191,52,7,0.20307264776414152
2,10,5,3,250,1,5,250,70,163,70,17,0.18114845739326116
2,10,5,3,250,1,5,250,60,185,52,13,0.21230519638936343
2,10,5,3,250,1,5,250,50,193,49,8,0.20350837834095006
2,10,5,3,250,1,5,250,60,190,47,13,0.22055507361475954
2,10,5,3,250,1,5,250,70,166,68,16,0.18735154531774512
2,10,5,3,250,1,5,250,50,194,48,8,0.20597462884226675
2,10,5,3,250,1,5,250,60,190,45,15,0.22694522769806624
2,10,5,3,250,1,5,250,70,167,66,17,0.18762178551375638
2,10,5,3,250,1,5,250,70,172,60,18,0.19495794392523366
2,10,5,3,250,1,5,250,50,198,47,5,0.20651599297012305
2,10,5,3,250,1,5,250,60,190,44,16,0.2279661437341105
2,10,5,3,250,1,5,250,70,176,57,17,0.19868810606475637
2,10,5,3,250,1,5,250,50,202,42,6,0.2048335045544825
2,10,5,3,250,1,5,250,60,189,45,16,0.22946207994123763
2,10,5,3,250,1,5,250,50,204,40,6,0.20530162618221412
2,10,5,3,250,1,5,250,70,184,52,14,0.19955627296003572
2,10,5,3,250,1,5,250,60,196,39,15,0.2343285048181536
2,10,5,3,250,1,5,250,50,203,39,8,0.20895722635494157
2,10,5,3,250,1,5,250,60,194,42,14,0.23415541669244577
2,10,5,3,250,1,5,250,50,207,33,10,0.21297392116320954
2,10,5,3,250,1,5,250,50,209,31,10,0.21835665701394036
2,10,5,3,250,1,5,250,70,184,53,13,0.20618627997769118
2,10,5,3,250,1,5,250,60,197,40,13,0.23188007548548126
2,10,5,3,250,1,5,250,50,210,30,10,0.2218423913043478
