"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Wealth Distribution.nlogox"
"experiment_07_12"
"12/07/2025 18:43:02:195 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-grain-grown","percent-best-land","metabolism-max","max-vision","num-people","grain-growth-interval","life-expectancy-min","life-expectancy-max","[step]","ticks","count turtles","gini-index-reserve / num-people"
"3","5","5","10","4","300","3","30","80","500","500","300","0.23965301176331522"
"2","5","5","10","4","300","2","30","80","500","500","300","0.23028775516583844"
"4","5","5","10","4","300","4","30","80","500","500","300","0.21069124767225333"
"5","5","5","10","4","300","5","30","80","500","500","300","0.19276968894771673"
"7","5","5","10","4","300","7","30","80","500","500","300","0.19736592815991955"
"6","5","5","10","4","300","6","30","80","500","500","300","0.19847598433312708"
"9","5","5","10","4","300","9","30","80","500","500","300","0.19329014630706873"
"8","5","5","10","4","300","8","30","80","500","500","300","0.20696726900784193"
"10","5","5","10","4","300","10","30","80","500","500","300","0.2134669791923678"
"11","5","5","10","6","300","1","30","80","500","500","300","0.22350894785560052"
"12","5","5","10","6","300","2","30","80","500","500","300","0.21835473263916094"
"13","5","5","10","6","300","3","30","80","500","500","300","0.21311206281227707"
"14","5","5","10","6","300","4","30","80","500","500","300","0.21384804173960803"
"15","5","5","10","6","300","5","30","80","500","500","300","0.2031848790939701"
"1","5","5","10","4","300","1","30","80","500","500","300","0.23263546377677286"
"16","5","5","10","6","300","6","30","80","500","500","300","0.2013461474785604"
"17","5","5","10","6","300","7","30","80","500","500","300","0.2037007099478232"
"18","5","5","10","6","300","8","30","80","500","500","300","0.19581416239428595"
"19","5","5","10","6","300","9","30","80","500","500","300","0.19909888533274472"
"20","5","5","10","6","300","10","30","80","500","500","300","0.2125786699107868"
"21","5","5","10","8","300","1","30","80","500","500","300","0.2749551361763344"
"22","5","5","10","8","300","2","30","80","500","500","300","0.22925985261134268"
"23","5","5","10","8","300","3","30","80","500","500","300","0.21809784411276964"
"24","5","5","10","8","300","4","30","80","500","500","300","0.21417536231884057"
"25","5","5","10","8","300","5","30","80","500","500","300","0.19862306785887557"
"26","5","5","10","8","300","6","30","80","500","500","300","0.21568022995628075"
"27","5","5","10","8","300","7","30","80","500","500","300","0.19515814064933507"
"28","5","5","10","8","300","8","30","80","500","500","300","0.19686566107216202"
"29","5","5","10","8","300","9","30","80","500","500","300","0.19339813711686354"
"30","5","5","10","8","300","10","30","80","500","500","300","0.20509180437322658"
