author_id,author_name,pageid,page_title
4,Mtwoll,8,DACH-Scratcher
4,Mtwoll,14,Koordinatensystem
5,Akhof,14,Koordinatensystem
10,TM,14,Koordinatensystem
11,Dasbloeckendeschaf,14,Koordinatensystem
20,LiFaytheGoblin,14,Koordinatensystem
41,Mathfreak231,14,Koordinatensystem
44,Kangalioo,14,Koordinatensystem
49,Frodewin,14,Koordinatensystem
128,Papageigames,14,Koordinatensystem
4,Mtwoll,69,Als HTML einbinden/Scratch 2.0
5,Akhof,87,Alle Blöcke = Übersichts-Liste
4,Mtwoll,125,Bewegung
6,Jonasi,125,Bewegung
7,Jonatan,125,Bewegung
11,Dasbloeckendeschaf,125,Bewegung
20,LiFaytheGoblin,125,Bewegung
34,Lirex,125,Bewegung
38,Xota,125,Bewegung
276,Haijo18,125,Bewegung
4,Mtwoll,185,Bewegter Hintergrund
5,Akhof,257,Benutzerkonto erstellen
4,Mtwoll,275,Chirp
4,Mtwoll,315,Blockform = Wahrheits-Blocke
6,Jonasi,315,Blockform = Wahrheits-Blocke
11,Dasbloeckendeschaf,315,Blockform = Wahrheits-Blocke
18,XJira,315,Blockform = Wahrheits-Blocke
20,LiFaytheGoblin,315,Blockform = Wahrheits-Blocke
41,Mathfreak231,315,Blockform = Wahrheits-Blocke
48,Simm162,315,Blockform = Wahrheits-Blocke
72,ErnieParke,315,Blockform = Wahrheits-Blocke
4,Mtwoll,329,"Falls () dann, sonst (Block)"
11,Dasbloeckendeschaf,329,"Falls () dann, sonst (Block)"
18,XJira,329,"Falls () dann, sonst (Block)"
20,LiFaytheGoblin,329,"Falls () dann, sonst (Block)"
41,Mathfreak231,329,"Falls () dann, sonst (Block)"
49,Frodewin,329,"Falls () dann, sonst (Block)"
56,Bolli24,329,"Falls () dann, sonst (Block)"
119,NpChecker,329,"Falls () dann, sonst (Block)"
201,Atten007,329,"Falls () dann, sonst (Block)"
261,SLR-2000,329,"Falls () dann, sonst (Block)"
4,Mtwoll,335,Drehe () Grad (Blöcke)
6,Jonasi,423,Aufzeichnen und Wiedergabe der Bewegung von Figuren
11,Dasbloeckendeschaf,437,Drehpunkt
6,Jonasi,459,Einzelschritte
4,Mtwoll,460,Dateiformate
6,Jonasi,461,Icons der Scratchdateien bearbeiten
5,Akhof,486,DACH Forum Moderatorenwahl
15,Webdesigner97,531,Hilfeseiten
5,Akhof,543,Den Durchschnitt von Zahlen ermitteln
4,Mtwoll,590,Aussehens Blöcke
6,Jonasi,590,Aussehens Blöcke
10,TM,590,Aussehens Blöcke
11,Dasbloeckendeschaf,590,Aussehens Blöcke
15,Webdesigner97,590,Aussehens Blöcke
18,XJira,590,Aussehens Blöcke
20,LiFaytheGoblin,590,Aussehens Blöcke
72,ErnieParke,590,Aussehens Blöcke
119,NpChecker,590,Aussehens Blöcke
189,Sehrschlecht36,590,Aussehens Blöcke
4,Mtwoll,592,Blockfarbe pink Klang-Blöcke
5,Akhof,592,Blockfarbe pink Klang-Blöcke
6,Jonasi,592,Blockfarbe pink Klang-Blöcke
7,Jonatan,592,Blockfarbe pink Klang-Blöcke
9,Paule10,592,Blockfarbe pink Klang-Blöcke
11,Dasbloeckendeschaf,592,Blockfarbe pink Klang-Blöcke
18,XJira,592,Blockfarbe pink Klang-Blöcke
20,LiFaytheGoblin,592,Blockfarbe pink Klang-Blöcke
48,Simm162,592,Blockfarbe pink Klang-Blöcke
75,InterwikiBot,592,Blockfarbe pink Klang-Blöcke
15,Webdesigner97,615,Community Stats/Scratch 1.4
4,Mtwoll,646,()/() (Block)
11,Dasbloeckendeschaf,646,()/() (Block)
15,Webdesigner97,646,()/() (Block)
18,XJira,646,()/() (Block)
20,LiFaytheGoblin,646,()/() (Block)
48,Simm162,646,()/() (Block)
72,ErnieParke,646,()/() (Block)
75,InterwikiBot,646,()/() (Block)
119,NpChecker,646,()/() (Block)
5,Akhof,687,Clutter
18,XJira,706,Der Scratch.mit-Account für das Wiki
4,Mtwoll,810,Build Your Own Blocks
10,TM,810,Build Your Own Blocks
11,Dasbloeckendeschaf,810,Build Your Own Blocks
20,LiFaytheGoblin,810,Build Your Own Blocks
34,Lirex,810,Build Your Own Blocks
49,Frodewin,810,Build Your Own Blocks
53,GuyFauwx,810,Build Your Own Blocks
72,ErnieParke,810,Build Your Own Blocks
75,InterwikiBot,810,Build Your Own Blocks
119,NpChecker,810,Build Your Own Blocks
20,LiFaytheGoblin,932,Denke () für () Sek. (Block)
11,Dasbloeckendeschaf,933,Denke () (Block)
4,Mtwoll,942,Komme nach vorn (Block)
6,Jonasi,942,Komme nach vorn (Block)
11,Dasbloeckendeschaf,942,Komme nach vorn (Block)
20,LiFaytheGoblin,942,Komme nach vorn (Block)
22,Samueldora,942,Komme nach vorn (Block)
34,Lirex,942,Komme nach vorn (Block)
41,Mathfreak231,942,Komme nach vorn (Block)
75,InterwikiBot,942,Komme nach vorn (Block)
154,Leo2nardo,942,Komme nach vorn (Block)
20,LiFaytheGoblin,970,Hebe Stift an (Block)
11,Dasbloeckendeschaf,1046,Element () von () (Block)
1,DL6DBN,1057,() mod () (Block)
4,Mtwoll,1057,() mod () (Block)
11,Dasbloeckendeschaf,1057,() mod () (Block)
18,XJira,1057,() mod () (Block)
20,LiFaytheGoblin,1057,() mod () (Block)
44,Kangalioo,1057,() mod () (Block)
75,InterwikiBot,1057,() mod () (Block)
119,NpChecker,1057,() mod () (Block)
128,Papageigames,1057,() mod () (Block)
16,Supersil,1102,Damit
7,Jonatan,1133,Antwort (Block)
6,Jonasi,1159,Laut? (Block)
20,LiFaytheGoblin,1159,Laut? (Block)
41,Mathfreak231,1159,Laut? (Block)
49,Frodewin,1159,Laut? (Block)
75,InterwikiBot,1159,Laut? (Block)
128,Papageigames,1159,Laut? (Block)
6,Jonasi,1167,Hinterlasse Abdruck (Block)
20,LiFaytheGoblin,1189,DACH Scratch-Forum
4,Mtwoll,1270,3D in Scratch
5,Akhof,1270,3D in Scratch
11,Dasbloeckendeschaf,1270,3D in Scratch
17,ZeroLuck,1270,3D in Scratch
49,Frodewin,1270,3D in Scratch
53,GuyFauwx,1270,3D in Scratch
119,NpChecker,1270,3D in Scratch
154,Leo2nardo,1270,3D in Scratch
261,SLR-2000,1270,3D in Scratch
20,LiFaytheGoblin,1278,Holiday Logo
15,Webdesigner97,1382,Einsteiger-Screencasts
11,Dasbloeckendeschaf,1390,Interests Beyond Scratch (Forum)
22,Samueldora,1433,Community Moderator
15,Webdesigner97,1551,Inhalte von Texten ermitteln
35,Aolinger,1623,CollabPortal
4,Mtwoll,1647,GP
6,Jonasi,1647,GP
11,Dasbloeckendeschaf,1647,GP
17,ZeroLuck,1647,GP
18,XJira,1647,GP
20,LiFaytheGoblin,1647,GP
36,Curiouscrab,1647,GP
276,Haijo18,1647,GP
11,Dasbloeckendeschaf,1655,Code.org
11,Dasbloeckendeschaf,1666,April Fools Day
20,LiFaytheGoblin,1676,Cloud Daten
20,LiFaytheGoblin,1684,"Einladung zum ""Alternativen Scratch Day"" am Samstag 11.5.2013 in Hattingen/Bochum"
6,Jonasi,1706,Flash Player
11,Dasbloeckendeschaf,1706,Flash Player
15,Webdesigner97,1706,Flash Player
20,LiFaytheGoblin,1706,Flash Player
34,Lirex,1706,Flash Player
36,Curiouscrab,1706,Flash Player
75,InterwikiBot,1706,Flash Player
119,NpChecker,1706,Flash Player
11,Dasbloeckendeschaf,1735,Bericht vom Scratch Day 2013 in Hattingen
15,Webdesigner97,1790,Bericht vom Scratch Day 2013 in Bochum / Hattingen/focus
6,Jonasi,1929,Hauptseite-Neu
36,Curiouscrab,2008,Drehe dich um () Grad (Block)
4,Mtwoll,2056,Drehe dich zu () (Block)
15,Webdesigner97,2073,Dateiformate/ Scratch 1.4
36,Curiouscrab,2097,Community Guidelines
20,LiFaytheGoblin,2167,Benutzername (Block)
44,Kangalioo,2214,Case Sensing
20,LiFaytheGoblin,2260,Definiere () (Block)
4,Mtwoll,2286,Klangeditor/Scratch 2.0
5,Akhof,2286,Klangeditor/Scratch 2.0
6,Jonasi,2286,Klangeditor/Scratch 2.0
11,Dasbloeckendeschaf,2286,Klangeditor/Scratch 2.0
20,LiFaytheGoblin,2286,Klangeditor/Scratch 2.0
22,Samueldora,2286,Klangeditor/Scratch 2.0
51,Philippgromball,2286,Klangeditor/Scratch 2.0
63,JohannaJacob,2286,Klangeditor/Scratch 2.0
75,InterwikiBot,2286,Klangeditor/Scratch 2.0
119,NpChecker,2286,Klangeditor/Scratch 2.0
36,Curiouscrab,2409,JSON Hacking
20,LiFaytheGoblin,2460,Hauptseite/Entwurf1
3,FrankS,2571,Explore (Scratch Modifikation)
4,Mtwoll,2571,Explore (Scratch Modifikation)
5,Akhof,2571,Explore (Scratch Modifikation)
6,Jonasi,2571,Explore (Scratch Modifikation)
7,Jonatan,2571,Explore (Scratch Modifikation)
11,Dasbloeckendeschaf,2571,Explore (Scratch Modifikation)
15,Webdesigner97,2571,Explore (Scratch Modifikation)
20,LiFaytheGoblin,2571,Explore (Scratch Modifikation)
22,Samueldora,2571,Explore (Scratch Modifikation)
34,Lirex,2571,Explore (Scratch Modifikation)
6,Jonasi,2572,Enchanting (Scratch Modifikation)
41,Mathfreak231,2594,Benutzereingaben prüfen
49,Frodewin,2768,Benutzerdefinierte Blöcke
20,LiFaytheGoblin,2780,Email-Adressen-Bestätigung
44,Kangalioo,2839,Einsteiger-Tutorials
72,ErnieParke,3063,Beetle Blocks
49,Frodewin,3067,Bühnengröße
20,LiFaytheGoblin,3144,IT4Kids
4,Mtwoll,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
6,Jonasi,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
20,LiFaytheGoblin,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
41,Mathfreak231,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
49,Frodewin,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
75,InterwikiBot,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
201,Atten007,3160,Ereignis Berlin 11.11.05 Hildegard-WegscheiderGymnasium Digitale Gesellschaft Gestalten
36,Curiouscrab,3345,Inhalte für mein Scratch-Projekt
57,ThisIsAnAccount,3373,Informatik
41,Mathfreak231,3397,Cybermobbing
4,Mtwoll,3400,KI Siri
5,Akhof,3400,KI Siri
6,Jonasi,3400,KI Siri
11,Dasbloeckendeschaf,3400,KI Siri
22,Samueldora,3400,KI Siri
36,Curiouscrab,3400,KI Siri
44,Kangalioo,3400,KI Siri
128,Papageigames,3400,KI Siri
49,Frodewin,3497,Conways Spiel des Lebens
57,ThisIsAnAccount,3508,COLLAP-Konzept
15,Webdesigner97,3564,Auflösung
60,Dimon4ezzz,3617,Debuggen von Skripten
41,Mathfreak231,3662,Hexadezimale Zahlen
49,Frodewin,3698,Hauptseite/AlleProDeWo
72,ErnieParke,3771,Emoticons
75,InterwikiBot,3851,Häufig gemachte Fehler
20,LiFaytheGoblin,3941,IsOnline
16,Supersil,3988,Animation
6,Jonasi,4003,Drag & Drop
20,LiFaytheGoblin,4011,Aufrufe
10,TM,4052,Deutscher Scratch Blog
119,NpChecker,4070,Element
30,Dadiwiki,4175,Interaktion
11,Dasbloeckendeschaf,4178,Deutschsprachige Projekte finden
75,InterwikiBot,4251,Daten speichern
41,Mathfreak231,4279,Animationen
5,Akhof,4295,Herausgekommene Versionen
189,Sehrschlecht36,4298,Dash
75,InterwikiBot,4366,Bedingte Anweisungen
4,Mtwoll,4468,Datenstruktur
128,Papageigames,4647,Einzelbild
3,FrankS,4712,Gleite in () Sek. zu () (Block)
4,Mtwoll,4712,Gleite in () Sek. zu () (Block)
11,Dasbloeckendeschaf,4712,Gleite in () Sek. zu () (Block)
18,XJira,4712,Gleite in () Sek. zu () (Block)
20,LiFaytheGoblin,4712,Gleite in () Sek. zu () (Block)
36,Curiouscrab,4712,Gleite in () Sek. zu () (Block)
49,Frodewin,4712,Gleite in () Sek. zu () (Block)
1,DL6DBN,4894,Hacken
3,FrankS,4894,Hacken
4,Mtwoll,4894,Hacken
5,Akhof,4894,Hacken
6,Jonasi,4894,Hacken
7,Jonatan,4894,Hacken
9,Paule10,4894,Hacken
11,Dasbloeckendeschaf,4894,Hacken
13,Mherma,4894,Hacken
14,MegaValencia10,4894,Hacken
11,Dasbloeckendeschaf,4947,Daten speichern/Vor Scratch 1.3
128,Papageigames,5096,Benutzername
78,Jueschnei,5196,Cloud-Variable
4,Mtwoll,5197,Cloud-Variablen
44,Kangalioo,5387,Alle Kostüm&Bühnenbild Tools
7,Jonatan,5537,Cloud-Variablen-infoseite
18,XJira,5542,Deutsches Forum
5,Akhof,5638,Einen Teil einer Zeichenkette löschen
10,TM,5638,Einen Teil einer Zeichenkette löschen
11,Dasbloeckendeschaf,5638,Einen Teil einer Zeichenkette löschen
15,Webdesigner97,5638,Einen Teil einer Zeichenkette löschen
20,LiFaytheGoblin,5638,Einen Teil einer Zeichenkette löschen
36,Curiouscrab,5638,Einen Teil einer Zeichenkette löschen
60,Dimon4ezzz,5638,Einen Teil einer Zeichenkette löschen
75,InterwikiBot,5638,Einen Teil einer Zeichenkette löschen
36,Curiouscrab,5706,Höchstpunktzahl
