author_id,author_name,pageid,page_title
4,InterwikiBot,8,Créer un compte Scratch
4,InterwikiBot,9,Créer un projet de bienvenue
5,Smrman,9,Créer un projet de bienvenue
11,Florian KJH,9,Créer un projet de bienvenue
19,Bouboufez,9,Créer un projet de bienvenue
20,Gurvan72,9,Créer un projet de bienvenue
24,Ma15fo43,9,Créer un projet de bienvenue
32,Kenny2scratch,9,Créer un projet de bienvenue
46,NilsTheBest,9,Créer un projet de bienvenue
65,ThomasLego19,9,Créer un projet de bienvenue
71,Eloilefantastique,9,Créer un projet de bienvenue
4,InterwikiBot,29,Bien commencer
4,InterwikiBot,34,Ajouter un sprite
4,InterwikiBot,44,Citer un post
5,Smrman,48,Blocs d'apparence
4,InterwikiBot,52,Données
4,InterwikiBot,119,Ceux que je suis
5,Smrman,119,Ceux que je suis
19,Bouboufez,119,Ceux que je suis
22,Ambre789,119,Ceux que je suis
27,Flapyness,119,Ceux que je suis
32,Kenny2scratch,119,Ceux que je suis
43,Loquax,119,Ceux que je suis
123,Wilhelm43,119,Ceux que je suis
147,Suspity,119,Ceux que je suis
156,Ma33-ma,119,Ceux que je suis
5,Smrman,124,Créer un projet
4,InterwikiBot,135,Description d'un studio
5,Smrman,135,Description d'un studio
19,Bouboufez,135,Description d'un studio
20,Gurvan72,135,Description d'un studio
24,Ma15fo43,135,Description d'un studio
27,Flapyness,135,Description d'un studio
32,Kenny2scratch,135,Description d'un studio
43,Loquax,135,Description d'un studio
46,NilsTheBest,135,Description d'un studio
83,Arqwa,135,Description d'un studio
5,Smrman,144,Ajouter un highscore (tutoriel)
16,Mattdo66,177,Blocs du forum
4,InterwikiBot,238,(ordonnée y) (bloc)
11,Florian KJH,249,Ajouter un projet à un studio
4,InterwikiBot,264,Animation d'un sprite (tutoriel)
5,Smrman,264,Animation d'un sprite (tutoriel)
8,Marius85,264,Animation d'un sprite (tutoriel)
10,Lestroiscourrones,264,Animation d'un sprite (tutoriel)
19,Bouboufez,264,Animation d'un sprite (tutoriel)
32,Kenny2scratch,264,Animation d'un sprite (tutoriel)
63,IA-maker,264,Animation d'un sprite (tutoriel)
65,ThomasLego19,264,Animation d'un sprite (tutoriel)
120,Scratch-hv,264,Animation d'un sprite (tutoriel)
15,ScratcherOfWorld,265,Créer un environnement sonore (tutoriel)
19,Bouboufez,271,Créer un environnement graphique (tutoriel)
5,Smrman,386,Explorer
11,Florian KJH,386,Explorer
19,Bouboufez,386,Explorer
20,Gurvan72,386,Explorer
22,Ambre789,386,Explorer
32,Kenny2scratch,386,Explorer
43,Loquax,386,Explorer
65,ThomasLego19,386,Explorer
123,Wilhelm43,386,Explorer
5,Smrman,395,Créateur d'un projet
5,Smrman,428,Drapeau vert
4,InterwikiBot,530,Instructions
5,Smrman,530,Instructions
8,Marius85,530,Instructions
19,Bouboufez,530,Instructions
24,Ma15fo43,530,Instructions
32,Kenny2scratch,530,Instructions
43,Loquax,530,Instructions
19,Bouboufez,551,Ajouter () à x (bloc)
24,Ma15fo43,552,Ajouter () à y (bloc)
5,Smrman,571,(jours depuis 2000) (bloc)
5,Smrman,581,(nom d'utilisateur) (bloc)
5,Smrman,585,(() - ()) (bloc)
11,Florian KJH,585,(() - ()) (bloc)
19,Bouboufez,585,(() - ()) (bloc)
27,Flapyness,585,(() - ()) (bloc)
32,Kenny2scratch,585,(() - ()) (bloc)
35,Rezomatho,585,(() - ()) (bloc)
65,ThomasLego19,585,(() - ()) (bloc)
71,Eloilefantastique,585,(() - ()) (bloc)
123,Wilhelm43,585,(() - ()) (bloc)
5,Smrman,597,(souris x) (bloc)
19,Bouboufez,598,(souris y) (bloc)
27,Flapyness,616,(réponse) (bloc)
19,Bouboufez,650,Costume suivant (bloc)
4,InterwikiBot,651,Basculer sur l'arrière-plan ( v) (bloc)
5,Smrman,651,Basculer sur l'arrière-plan ( v) (bloc)
19,Bouboufez,651,Basculer sur l'arrière-plan ( v) (bloc)
27,Flapyness,651,Basculer sur l'arrière-plan ( v) (bloc)
32,Kenny2scratch,651,Basculer sur l'arrière-plan ( v) (bloc)
41,Link-potter,651,Basculer sur l'arrière-plan ( v) (bloc)
44,MaximeThiel,651,Basculer sur l'arrière-plan ( v) (bloc)
65,ThomasLego19,651,Basculer sur l'arrière-plan ( v) (bloc)
83,Arqwa,651,Basculer sur l'arrière-plan ( v) (bloc)
90,Gixoplye2france,651,Basculer sur l'arrière-plan ( v) (bloc)
2,Mtwoll,663,Ajouter () au tempo (bloc)
5,Smrman,663,Ajouter () au tempo (bloc)
11,Florian KJH,663,Ajouter () au tempo (bloc)
19,Bouboufez,663,Ajouter () au tempo (bloc)
22,Ambre789,663,Ajouter () au tempo (bloc)
27,Flapyness,663,Ajouter () au tempo (bloc)
32,Kenny2scratch,663,Ajouter () au tempo (bloc)
100,Theo 1er,663,Ajouter () au tempo (bloc)
123,Wilhelm43,663,Ajouter () au tempo (bloc)
32,Kenny2scratch,665,(tempo) (bloc)
27,Flapyness,668,Ajouter () à la taille (bloc)
32,Kenny2scratch,693,Aller au premier plan (bloc)
8,Marius85,694,Déplacer de () plans arrière (bloc)
5,Smrman,695,(costume n°) (bloc)
7,Zelda 64,696,(nom de l'arrière-plan) (bloc)
19,Bouboufez,697,(direction) (bloc)
5,Smrman,698,Effacer tout (bloc)
19,Bouboufez,698,Effacer tout (bloc)
27,Flapyness,698,Effacer tout (bloc)
32,Kenny2scratch,698,Effacer tout (bloc)
41,Link-potter,698,Effacer tout (bloc)
43,Loquax,698,Effacer tout (bloc)
46,NilsTheBest,698,Effacer tout (bloc)
65,ThomasLego19,698,Effacer tout (bloc)
83,Arqwa,698,Effacer tout (bloc)
123,Wilhelm43,698,Effacer tout (bloc)
65,ThomasLego19,699,(taille) (bloc)
43,Loquax,704,Ajouter () à la ( v) du stylo (bloc)
71,Eloilefantastique,706,Ajouter () à l'intensité du stylo (bloc)
19,Bouboufez,709,(arrière-plan n°) (bloc)
4,InterwikiBot,710,Ajouter () à la taille du stylo (bloc)
24,Ma15fo43,718,Costumes
5,Smrman,719,Classe
32,Kenny2scratch,722,Coordonnées
4,InterwikiBot,728,Communauté (pied de page)
5,Smrman,728,Communauté (pied de page)
19,Bouboufez,728,Communauté (pied de page)
32,Kenny2scratch,728,Communauté (pied de page)
43,Loquax,728,Communauté (pied de page)
65,ThomasLego19,728,Communauté (pied de page)
83,Arqwa,728,Communauté (pied de page)
86,Scratcheur-2020Send,728,Communauté (pied de page)
90,Gixoplye2france,728,Communauté (pied de page)
99,Hello34090,728,Communauté (pied de page)
19,Bouboufez,732,Clone
5,Smrman,736,Fixer le sens de rotation ( v) (bloc)
10,Lestroiscourrones,736,Fixer le sens de rotation ( v) (bloc)
11,Florian KJH,736,Fixer le sens de rotation ( v) (bloc)
19,Bouboufez,736,Fixer le sens de rotation ( v) (bloc)
32,Kenny2scratch,736,Fixer le sens de rotation ( v) (bloc)
65,ThomasLego19,736,Fixer le sens de rotation ( v) (bloc)
83,Arqwa,736,Fixer le sens de rotation ( v) (bloc)
90,Gixoplye2france,736,Fixer le sens de rotation ( v) (bloc)
123,Wilhelm43,736,Fixer le sens de rotation ( v) (bloc)
4,InterwikiBot,741,Attendre jusqu'à () (bloc)
