author_id,author_name,pageid,page_title
2,Mtwoll,4,Scratch
4,Startuser,4,Scratch
5,Mirukuma,4,Scratch
7,Jp86143,4,Scratch
14,InterwikiBot,4,Scratch
18,Geoknzw,4,Scratch
22,2003kaito,4,Scratch
23,Kurankuran,4,Scratch
24,Apple502j,4,Scratch
40,Mochimochiking,4,Scratch
2,Mtwoll,31,Scratch 1.4
5,Mirukuma,31,Scratch 1.4
7,Jp86143,31,Scratch 1.4
22,2003kaito,31,Scratch 1.4
24,Apple502j,31,Scratch 1.4
40,Mochimochiking,31,Scratch 1.4
43,Haruhito 8610,31,Scratch 1.4
50,Itigo 0302,31,Scratch 1.4
56,Gagagagagagagaqqww,31,Scratch 1.4
66,PIPOsen,31,Scratch 1.4
7,Jp86143,38,クローン
10,Abee,38,クローン
11,ErnieParke,38,クローン
22,2003kaito,38,クローン
23,Kurankuran,38,クローン
24,Apple502j,38,クローン
40,Mochimochiking,38,クローン
70,Apple bot,38,クローン
94,227kei,38,クローン
110,T-taku,38,クローン
2,Mtwoll,53,Scratchのウェブサイトを翻訳する方法
7,Jp86143,53,Scratchのウェブサイトを翻訳する方法
8,Suraimutatu,53,Scratchのウェブサイトを翻訳する方法
22,2003kaito,53,Scratchのウェブサイトを翻訳する方法
24,Apple502j,53,Scratchのウェブサイトを翻訳する方法
25,I8864 m,53,Scratchのウェブサイトを翻訳する方法
29,Yu sukeGO,53,Scratchのウェブサイトを翻訳する方法
50,Itigo 0302,53,Scratchのウェブサイトを翻訳する方法
70,Apple bot,53,Scratchのウェブサイトを翻訳する方法
104,Yaakiyu,53,Scratchのウェブサイトを翻訳する方法
5,Mirukuma,71,() 秒待つ (ブロック)
7,Jp86143,71,() 秒待つ (ブロック)
14,InterwikiBot,71,() 秒待つ (ブロック)
22,2003kaito,71,() 秒待つ (ブロック)
23,Kurankuran,71,() 秒待つ (ブロック)
24,Apple502j,71,() 秒待つ (ブロック)
70,Apple bot,71,() 秒待つ (ブロック)
89,Wakisaka285,71,() 秒待つ (ブロック)
110,T-taku,71,() 秒待つ (ブロック)
