author_id,author_name,pageid,page_title
1,Admin,8,Заглавная страница
2,Dimon4ezzz,16,Галерея
10,D4zzzBOT,16,Галерея
16,Timkoiko,16,Галерея
21,InterwikiBot,16,Галерея
36,Mini Kostik,16,Галерея
42,RuMaks,16,Галерея
120,Idey programm,16,Галерея
2,Dimon4ezzz,20,Flash-плеер
2,Dimon4ezzz,54,Блок операторов/Округлить ()
42,RuMaks,55,Java-плеер
2,Dimon4ezzz,170,День смеха
10,D4zzzBOT,170,День смеха
21,InterwikiBot,170,День смеха
36,Mini Kostik,170,День смеха
114,Gohoski,170,День смеха
120,Idey programm,170,День смеха
132,Alleksandra-I,170,День смеха
154,Stysan,170,День смеха
195,Mischarule,170,День смеха
19,Tankist-777,216,Блок операторов/() + ()
21,InterwikiBot,230,Блок операторов/() - ()
114,Gohoski,284,Phosphorus
2,Dimon4ezzz,347,Заглавная страница/Скретч Вики
4,Mtwoll,347,Заглавная страница/Скретч Вики
10,D4zzzBOT,347,Заглавная страница/Скретч Вики
21,InterwikiBot,347,Заглавная страница/Скретч Вики
42,RuMaks,347,Заглавная страница/Скретч Вики
114,Gohoski,347,Заглавная страница/Скретч Вики
180,Veniamin6,347,Заглавная страница/Скретч Вики
2,Dimon4ezzz,417,Блок сенсоров/Дней с 2000 г
2,Dimon4ezzz,479,Звук
21,InterwikiBot,479,Звук
42,RuMaks,479,Звук
44,Kometa2007,479,Звук
114,Gohoski,479,Звук
120,Idey programm,479,Звук
217,AGScratcherBest,479,Звук
15,Rumanti,529,Блок пера
2,Dimon4ezzz,552,Блок шапка
2,Dimon4ezzz,580,Идти () шагов
21,InterwikiBot,580,Идти () шагов
23,Denpotter,580,Идти () шагов
42,RuMaks,580,Идти () шагов
46,Evgeny patarakin,580,Идти () шагов
67,Qwertyabcd,580,Идти () шагов
68,Tankist-scratch,580,Идти () шагов
36,Mini Kostik,612,Блок операторов/() * ()
21,InterwikiBot,615,Блок сенсоров/Имя пользователя
21,InterwikiBot,620,Блок сенсоров/Спросить () и ждать
42,RuMaks,623,Блок операторов/() / ()
2,Dimon4ezzz,629,Заглавная страница/Избранные изображения
