percent.best.land,metabolism.max,max.vision,grain.growth.interval,gini
5,10,4,3,0.239653011763315
5,10,4,2,0.230287755165838
5,10,4,4,0.210691247672253
5,10,4,5,0.192769688947717
5,10,4,7,0.19736592815992
5,10,4,6,0.198475984333127
5,10,4,9,0.193290146307069
5,10,4,8,0.206967269007842
5,10,4,10,0.213466979192368
5,10,6,1,0.223508947855601
5,10,6,2,0.218354732639161
5,10,6,3,0.213112062812277
5,10,6,4,0.213848041739608
5,10,6,5,0.20318487909397
5,10,4,1,0.232635463776773
5,10,6,6,0.20134614747856
5,10,6,7,0.203700709947823
5,10,6,8,0.195814162394286
5,10,6,9,0.199098885332745
5,10,6,10,0.212578669910787
5,10,8,1,0.274955136176334
5,10,8,2,0.229259852611343
5,10,8,3,0.21809784411277
5,10,8,4,0.214175362318841
5,10,8,5,0.198623067858876
5,10,8,6,0.215680229956281
5,10,8,7,0.195158140649335
5,10,8,8,0.196865661072162
5,10,8,9,0.193398137116864
5,10,8,10,0.205091804373227
5,10,10,1,0.246244891466608
5,10,10,2,0.226929698708752
5,10,10,3,0.212703610057592
5,10,10,4,0.211177718040621
5,10,10,5,0.214204076367389
5,10,10,6,0.196010337646884
5,10,10,7,0.19444900605013
5,10,10,8,0.219496419374184
5,10,10,9,0.194888033874842
5,10,10,10,0.200659291864551
5,10,12,1,0.236202322372361
5,10,12,2,0.213478621064866
5,10,12,3,0.220764579774227
5,10,12,4,0.222980307912639
5,10,12,5,0.200282682007538
5,10,12,6,0.201434814155206
5,10,12,7,0.206855155452777
5,10,12,8,0.192171626427101
5,10,12,9,0.191990774586597
5,10,12,10,0.184214195183777
5,10,14,1,0.241349634700191
5,10,14,2,0.222265659583887
5,10,14,3,0.204400774860095
5,10,14,4,0.1991412842827
5,10,14,5,0.199704009551288
5,10,14,6,0.202298827867773
5,10,14,7,0.196944270724759
5,10,14,8,0.202567962220772
5,10,14,9,0.202604473005845
5,15,4,2,0.209589274890739
5,15,4,1,0.213644869244299
5,10,14,10,0.180705542725173
5,15,4,3,0.211105170183906
5,15,4,4,0.235133733422242
5,15,4,5,0.197098736637512
5,15,4,7,0.207581281932188
5,15,4,6,0.212768616527391
5,15,4,8,0.201392065344224
5,15,4,10,0.193941658223573
5,15,4,9,0.205085292761641
5,15,6,1,0.226153615746684
5,15,6,2,0.202724271162627
5,15,6,3,0.1938494518615
5,15,6,4,0.198592184547367
5,15,6,5,0.223310755792435
5,15,6,6,0.211542239685658
5,15,6,7,0.208368438861397
5,15,6,8,0.202629557765381
5,15,6,9,0.200719368467867
5,15,6,10,0.176211035333102
5,15,8,1,0.22634062969435
5,15,8,2,0.204390175569667
5,15,8,3,0.214835723103219
5,15,8,4,0.213364498644986
5,15,8,5,0.196704553655192
5,15,8,6,0.201978698456127
5,15,8,7,0.203135901303322
5,15,8,8,0.211768513119534
5,15,8,9,0.201609824382795
5,15,8,10,0.200373368545949
5,15,10,1,0.24390487483531
5,15,10,2,0.228198488432156
5,15,10,3,0.215246556956116
5,15,10,4,0.202956626665344
5,15,10,5,0.188888220934893
5,15,10,6,0.197856258384068
5,15,10,7,0.199694861601885
5,15,10,8,0.214229112833764
5,15,10,9,0.202819633375964
5,15,10,10,0.199402721774193
5,15,12,2,0.218170882518269
5,15,12,1,0.225827161544792
5,15,12,3,0.213163804491413
5,15,12,4,0.207383731211318
5,15,12,5,0.20902098928519
5,15,12,6,0.203312152084865
5,15,12,7,0.202758886575681
5,15,12,8,0.201670948155068
5,15,12,9,0.196201030537243
5,15,12,10,0.198895910464275
5,15,14,1,0.238308446913795
5,15,14,2,0.208674440371266
5,15,14,3,0.216936045681656
5,15,14,4,0.218255785098331
5,15,14,5,0.196820788530466
5,15,14,6,0.204245118359332
5,15,14,8,0.188183305402602
5,15,14,7,0.183998331156581
5,15,14,9,0.183040868454662
10,10,4,1,0.251157402079257
5,15,14,10,0.196301275218129
10,10,4,2,0.233008929255768
10,10,4,3,0.236566481212708
10,10,4,4,0.240003267973857
10,10,4,5,0.226742602495544
10,10,4,7,0.229004077021318
10,10,4,6,0.220672669931115
10,10,4,8,0.221649695086872
10,10,4,9,0.220570908622411
10,10,4,10,0.196200909090909
10,10,6,1,0.223881615444358
10,10,6,3,0.223453955601764
10,10,6,2,0.229278676287634
10,10,6,4,0.232126581746332
10,10,6,5,0.225057039149598
10,10,6,6,0.232467434705767
10,10,6,7,0.221346709290261
10,10,6,9,0.206950626182539
10,10,6,8,0.206064242617548
10,10,6,10,0.231818227341012
10,10,8,2,0.235010759850387
10,10,8,1,0.229947617880199
10,10,8,3,0.22952909528269
10,10,8,4,0.221135800114438
10,10,8,5,0.228000885663059
10,10,8,6,0.215536122696085
10,10,8,7,0.23445564326661
10,10,8,8,0.217960480267054
10,10,8,9,0.210471476285905
10,10,8,10,0.218958909157914
10,10,10,2,0.228256106510116
10,10,10,1,0.242560473070425
10,10,10,3,0.230864713672933
10,10,10,4,0.216161087866109
10,10,10,5,0.22963109439834
10,10,10,6,0.214859567796033
10,10,10,7,0.211428109896358
10,10,10,8,0.224158207730955
10,10,10,9,0.210099657890823
10,10,10,10,0.223087211900658
10,10,12,1,0.230795540917153
10,10,12,2,0.222967040167748
10,10,12,3,0.214183916959971
10,10,12,4,0.236254480286738
10,10,12,6,0.229214836875592
10,10,12,5,0.225517461422439
10,10,12,7,0.217586976144423
10,10,12,8,0.194026685176616
10,10,12,9,0.20802545691906
10,10,12,10,0.201661351841431
10,10,14,2,0.234211650663849
10,10,14,1,0.225762844405467
10,10,14,3,0.224520884755946
10,10,14,5,0.226128608923885
10,10,14,4,0.220408825916907
10,10,14,6,0.211606051645969
10,10,14,7,0.210477076510866
10,10,14,8,0.208156773890003
10,10,14,9,0.197138948941735
10,15,4,1,0.254914196404221
10,10,14,10,0.219890898531486
10,15,4,2,0.260322393598516
10,15,4,3,0.22611270296084
10,15,4,4,0.229402081535525
10,15,4,5,0.23190815324165
10,15,4,6,0.206891314970553
10,15,4,7,0.229465337439888
10,15,4,8,0.228749641854335
10,15,4,9,0.221576518368101
10,15,4,10,0.229554811248343
10,15,6,1,0.245485710477714
10,15,6,3,0.24089590973767
10,15,6,2,0.239274954012973
10,15,6,4,0.222845422840156
10,15,6,5,0.23305802549459
10,15,6,6,0.227965293820866
10,15,6,7,0.222662891986063
10,15,6,8,0.21311409832358
10,15,6,9,0.197838578808913
10,15,6,10,0.216906606209459
10,15,8,1,0.247892503067078
10,15,8,2,0.242592027326575
10,15,8,3,0.236367220864867
