author_id,pageid,page_title,category
266,3327,Интерактивные технологии,EducationalTechnology
268,3327,Интерактивные технологии,EducationalTechnology
270,3711,«Экология и диалектика» (Л.В. Тарасов),EducationalTechnology
278,3711,«Экология и диалектика» (Л.В. Тарасов),EducationalTechnology
1195,3882,School Choice ABM,Social statistic research
1295,3882,School Choice ABM,Social statistic research
411,3968,"Роль А.В. Никитенко в издании романа Н.В. Гоголя ""Мёртвые души""",Работы филологов ИГН
433,3968,"Роль А.В. Никитенко в издании романа Н.В. Гоголя ""Мёртвые души""",Работы филологов ИГН
433,3972,Стилистическое новаторство И.А. Бродского в преподавании литературы на примере опубликованных лекций,Работы филологов ИГН
439,3972,Стилистическое новаторство И.А. Бродского в преподавании литературы на примере опубликованных лекций,Работы филологов ИГН
414,4037,Дуальность города в текстах рэп-исполнителей,Работы филологов ИГН
455,4037,Дуальность города в текстах рэп-исполнителей,Работы филологов ИГН
435,4044,Николай Гумилев и Африка: путешествия как источник вдохновения,Работы филологов ИГН
632,4044,Николай Гумилев и Африка: путешествия как источник вдохновения,Работы филологов ИГН
469,4173,Новелла Серебряного века: проблемы классификации,Работы филологов ИГН
497,4173,Новелла Серебряного века: проблемы классификации,Работы филологов ИГН
361,4179,Трава, еноты и медведи,ИНФА-231-Model
362,4179,Трава, еноты и медведи,ИНФА-231-Model
415,4444,"Специфика интерпретации образа Дон Жуана в романе И.А. Гончарова ""Обрыв""",Работы филологов ИГН
468,4444,"Специфика интерпретации образа Дон Жуана в романе И.А. Гончарова ""Обрыв""",Работы филологов ИГН
415,4471,Бургхард Кристоф Миних. Историография,Работы историков ИГН
546,4471,Бургхард Кристоф Миних. Историография,Работы историков ИГН
415,4474,Переписка С.П. Шишкина как источник по изучению деятельности председателя Ярославского Верхнего земского суда во 2-ой половине XVIII в.,Работы историков ИГН
548,4474,Переписка С.П. Шишкина как источник по изучению деятельности председателя Ярославского Верхнего земского суда во 2-ой половине XVIII в.,Работы историков ИГН
412,4476,Нормативные акты, определившие становление системы социального обеспечения России в 1917-1925 годах,Работы историков ИГН
518,4476,Нормативные акты, определившие становление системы социального обеспечения России в 1917-1925 годах,Работы историков ИГН
550,4476,Нормативные акты, определившие становление системы социального обеспечения России в 1917-1925 годах,Работы историков ИГН
413,4478,Древнерусские войска на полях сражений в Северо-Западной Руси,Работы историков ИГН
565,4478,Древнерусские войска на полях сражений в Северо-Западной Руси,Работы историков ИГН
415,4486,Взятие и оборона Самарканда в воспоминаниях российских офицеров,Работы историков ИГН
555,4486,Взятие и оборона Самарканда в воспоминаниях российских офицеров,Работы историков ИГН
415,4490,Деятельность великого князя Сергея Александровича на посту генерал-губернатора Москвы,Работы историков ИГН
563,4490,Деятельность великого князя Сергея Александровича на посту генерал-губернатора Москвы,Работы историков ИГН
565,4490,Деятельность великого князя Сергея Александровича на посту генерал-губернатора Москвы,Работы историков ИГН
569,4490,Деятельность великого князя Сергея Александровича на посту генерал-губернатора Москвы,Работы историков ИГН
411,4494,Создание гимназий, уездных и приходских училищ в Московском учебном округе в 1803-1825,Работы историков ИГН
559,4494,Создание гимназий, уездных и приходских училищ в Московском учебном округе в 1803-1825,Работы историков ИГН
411,4497,Миграция китайских эмигрантов в Семиречье в 1868-1917 гг,Работы историков ИГН
564,4497,Миграция китайских эмигрантов в Семиречье в 1868-1917 гг,Работы историков ИГН
413,4525,Сравнение досуга столичного и московского дворянства второй половины XVIII века,Работы историков ИГН
