Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-971-465-417-538,COPYING UNCERTAINTY AND DIFFICULTY BY THE PILOTS OF THE AEROSPACE FORCES,,2021,journal article,Институт психологии Российской академии наук. Организационная психология и психология труда,25418688,Institute of Psychology Russian Academy of Sciences,,A A Aldasheva; Vladimir S. Lim; Alexander A. Lekalov; Oxana V. Runets,,6,3,100,117,Engineering; Aerospace; Aeronautics; Copying,,,,,http://dx.doi.org/10.38098/ipran.opwp_2021_20_3_005,http://dx.doi.org/10.38098/ipran.opwp_2021_20_3_005,,10.38098/ipran.opwp_2021_20_3_005,3208842173,,0,,0,true,,gold
002-017-066-241-805,PSYCHOLOGICAL FACTORS OF THE EFFECTIVENESS OF REFUTING DISINFORMATION IN SOCIAL NETWORKS,,2022,journal article,Институт психологии Российской академии наук. Организационная психология и психология труда,25418688,Institute of Psychology Russian Academy of Sciences,,A. Nestik; E. A. Mikheev,,7,2,65,94,Disinformation; Psychology; Social psychology; Social media; Computer science; Internet privacy; Computer security; World Wide Web,,,,,,http://dx.doi.org/10.38098/ipran.opwp_2022_23_2_003,,10.38098/ipran.opwp_2022_23_2_003,,,0,,2,true,,gold
002-582-251-245-711,"Systematic studies of the resilience of adolescents and the possibility of their adaptation.Review of the monograph by A.I. Laktionova “Resilience and social adaptation”. Moscow: Publ. “Institute of Psychology Russian Academy of Sciences”, 2017. 236 p.",2018-07-15,2018,journal article,Social Psychology and Society,22211527; 23117052,Moscow State University of Psychology and Education,,E A Sergienko,"<jats:p>The monograph under review is devoted to the theoretical and experimental analysis of the resilience of adolescents and the possibilities for their social adaptation. The subjective approach (system-subject approach) and system ecological theory served as theoretical guidelines. The content of the metasystem concept of resilience is substantiated and disclosed, its components are identified. The problems of adolescence and the possibility of studying a multicomponent construct, its role in social adaptation are discussed in detail. Multimethodic studies conducted on adolescents of three groups are described: senior schoolchildren in general education schools, special schools for adolescents with deviant behavior and orphans. Features of adaptive and disadaptive adolescents, teenagers-orphans, characteristic for their level of resilience and social interactions are shown. The problems of adolescence and the possibility of studying a multicomponent construct, its role in social adaptation are discussed in detail. Multimethodic studies conducted on adolescents of three groups are described: senior school- children in general education schools, special schools for adolescents with deviant behavior and orphans. Features of adaptive and disadaptive adolescents, teenagers- orphans, characteristic for their level of resilience and social interactions are shown.</jats:p>",9,2,207,212,Psychology; Resilience (network); Social adaptation; Social psychology; Adaptation (computer science),resilience; adaptation; adolescents,,,,https://psyjournals.ru/social_psy/2018/n2/Sergienko.shtml https://doaj.org/article/397b9866e38040d08d9e22cdfadc279c https://istina.msu.ru/publications/article/240337179/ https://psyjournals.ru/files/93830/sps_2018_n2_Sergienko.pdf,http://dx.doi.org/10.17759/sps.2018090214,,10.17759/sps.2018090214,2883346281,,0,,0,true,cc-by-nc,gold
002-589-752-985-808,ECONOMIC SOCIALIZATION OF THE PERSON: ANALYSIS OF APPROACHES TO UNDERSTANDING THE PHENOMENON,,2018,journal article,Bulletin of the Moscow State Regional University (Psychology),23107235,Federal State University of Education,,Tatiana V. Drobysheva,"Аннотация. Статья посвящена проблеме поиска различий в понимании содержания первичной и вторичной экономической социализации. Целью работы стало выявление основных отечественных подходов к трактовке феномена «экономическая социализация личности». Актуальность проведённой работы обусловлена назревшей ситуацией в области исследований экономической социализации. Она связана с потребностью в обосновании выделения и описания новых форм экономической социализации. В результате проведённого анализа дефиниций выделены критерии первичности и вторичности исследуемого феномена, описаны критерии перехода от первичной к вторичной экономической социализации. Ключевые слова: экономическая психология, экономическая социализация личности, первичная и вторичная социализация, формы социализации, субъект экономических отношений.",,1,29,39,Psychology; Socialization (Marxism); Phenomenon; Social psychology,economic psychology; the economic socialization of the person; primary and secondary socialization; forms of socialization; the subject of economic relations,,,,http://dx.doi.org/10.18384/2310-7235-2018-1-29-39,http://dx.doi.org/10.18384/2310-7235-2018-1-29-39,,10.18384/2310-7235-2018-1-29-39,2800562472,,0,023-885-492-669-11X,2,true,cc-by,gold
002-945-383-910-162,Musical Abilities and Intelligence as a Subject of Research in Music Psychology and Psychology of Music Education,,2019,journal article,Musical Art and Education,23091428,Federal State Budgetary Educational Institution of Higher Education Moscow Pedagogical State University,,Tatiana S. Knyazeva,"<jats:p>The article provides an overview of scientific research on the relationship of musicality and general intelligence. It is noted that the problem of the relationship between musicality, musical achievements and intelligence is interdisciplinary. It is significant for general and music psychology as well as for the theory and practice of music education. There is a shortage of empirical and theoretical works on this topic in the modern Russian-language scientific literature, and that is what determines the relevance of the overview presented. The article discusses the role of general intelligence in the formation of a musical professional and musical and educational achievements. There is a continuity in the development of scientific ideas and approaches from the beginning of the last century to modern research. Musical abilities are shown to be largely determined by the intellectual potential of the individual, which explains the association of musical abilities with academic performance and abilities in non-musical areas. Modern approaches view musicality as a polymorphic entity which is better described in terms of multidimensional musical behavior. The formation of a professional in the musical field makes the relationship between musicality and intelligence more complex; it begins to be mediated by a combination of factors, a significant place among which is shared intelligence.</jats:p>",7,3,30,45,Music psychology; Psychology; Cognitive science; Subject (philosophy); Musical,musical abilities; general intelligence; musical success; diagnostics of musical abilities; music psychology; psychology of music education,,,,https://doaj.org/article/28fc394de9574d52bbd999ff7b76a157,http://dx.doi.org/10.31862/2309-1428-2019-7-3-30-45,,10.31862/2309-1428-2019-7-3-30-45,2995188035,,0,001-140-328-078-233; 008-207-793-167-053; 008-828-533-110-095; 014-759-654-864-337; 015-866-782-158-074; 022-416-457-952-229; 022-765-820-658-303; 023-600-392-327-321; 023-743-311-571-639; 024-666-014-845-285; 029-262-755-941-750; 033-512-921-597-38X; 038-431-277-031-453; 038-700-256-523-291; 039-498-715-097-464; 045-603-304-671-694; 048-437-563-585-350; 049-072-649-049-169; 050-489-714-106-203; 059-782-546-615-016; 059-917-476-000-395; 066-126-744-024-266; 067-779-005-737-347; 068-522-332-741-020; 070-058-301-184-271; 084-098-424-280-487; 087-659-121-412-813; 089-480-733-213-21X; 090-676-645-556-570; 093-602-363-003-262; 094-174-604-946-869; 096-558-181-910-949; 099-484-314-263-803; 100-479-974-142-545; 110-580-252-921-503; 121-798-277-347-107; 123-678-375-609-55X; 135-189-343-601-092; 153-823-104-235-839; 175-804-651-748-54X; 198-467-888-526-224,2,true,cc-by,gold
003-499-980-858-277,Метод триад при психологическом исследовании сложных объектов,,2015,journal article,Experimental Psychology (Russia),20727593; 23117036,Moscow State University of Psychology and Education,,N. E. Kharlamenkova; N.V. Tarabrina; D.A. Nikitina,"<jats:p>The article deals with one of the variants of case study method – the method of triads for study of psychological consequences of the high intensity stressors influence on person. By comparing the three ca- ses – these patients with brain tumor diagnose, the specificity of the method is determined. It is shown that with method of cases comparison it is possible to distinguish the individual reactions to stress, determine the direction of the analysis of sample data, identify the trends of development of pathogenic mechanisms. Using the method of triads make it possible to identify the developmental mechanisms of such processes, with minimum loss of informative studies.</jats:p>",8,3,37,46,,method of triads; post-traumatic stress; meningioma; motivation,,,,https://psyjournals.ru/exp/2015/n3/kharlamenkova_et_al.shtml https://psyjournals.ru/files/79326/exp_2015_n3_copyright_Kharlamenkova.pdf http://psyjournals.ru/exp/2015/n3/kharlamenkova_et_al.shtml,http://dx.doi.org/10.17759/exppsy.2015080304,,10.17759/exppsy.2015080304,2254721093,,0,,0,true,cc-by-nc,gold
004-004-436-844-938,Features of Coping Strategies of Mothers with Different Stress Levels in the Situation of Their Children’s Upcoming Surgeries,,2021,journal article,"Общество: социология, психология, педагогика",22212795; 22236430,"HORS Publishing House, LLC",,Nadezhda Nailyevna Kazymova,,,1,43,46,Psychology; Stress level; Clinical psychology,,,,,http://dx.doi.org/10.24158/spp.2021.1.7,http://dx.doi.org/10.24158/spp.2021.1.7,,10.24158/spp.2021.1.7,3139508700,,0,,1,false,,
004-086-123-957-028,Features of the Development of a Teenager's Subjectivity in Interaction with the Natural Environment in a Children's Educational and Health Camp,,2021,journal article,Psychological-Educational Studies,25876139,Moscow State University of Psychology and Education,,A N Kamnev; T A Mikhailova,"<jats:p>The work shows that only a certain psychological and pedagogical complex, consisting of a convenient educational platform, using objects of nature in the pedagogical process; correctly selected psychological and pedagogical methods and a trained teaching staff will be able to contribute to the search and implementation of new psychological and pedagogical approaches used for the development of personality and subjectivity of adolescents. The most convenient site for these purposes may be a children's health camp. This educational platform is unique in terms of balancing lesson and extracurricular activities, providing opportunities for communicative interaction between peers, as well as adolescents and adults. It is also important that the environment of a country camp provides a child with the opportunity to discover those natural phenomena that could only be learned theoretically in the classroom. By contributing to the implementation of interdisciplinary environmental research projects, the camp creates conditions for the development of the adolescent's subjectivity in interaction with the natural environment. Receiving new skills and abilities in the camp, the child moves to a new level of education, and accordingly acquires new personal experience. Thus, the presented work shows that it is necessary to rethink the importance of children's health camps. While retaining the traditional functions of health improvement, recreation and entertainment, camps should provide and compensate for the educational and educational functions of modern school education. Camp activities should be productive.</jats:p>",13,1,57,71,Aesthetics; Sociology; Subjectivity; Natural (music),teenager; subjectivity; children's educational and health camp; environmental programs; additional education; adolescent self-awareness; activity; game; adventure; natural environment,,,,https://psyjournals.ru/files/120414/psyedu_2021_n1_Kamnev_Mihailova.pdf https://psyjournals.ru/en/psyedu_ej/2021/n1/Kamnev_Mihailova.shtml https://doaj.org/article/acb12aa18ee540d6b926ab04a2d2483f,http://dx.doi.org/10.17759/psyedu.2021130104,,10.17759/psyedu.2021130104,3160386089,,0,010-873-897-091-301; 029-401-322-647-377; 043-925-099-028-26X; 121-704-263-434-058; 123-047-274-681-164,5,true,cc-by-nc,gold
004-267-089-959-152,Динамика изменений взаимосвязи эмоционального интеллекта с результатами ЕГЭ в ходе адаптации школьной системы к его введению,,2015,journal article,Experimental Psychology (Russia),20727593; 23117036,Moscow State University of Psychology and Education,,Е С Дмитриева; В Я Гельман,"<jats:p>Research is devoted to the study of the relationship of emotional intelligence of students with the results of the state exam in the adaptation of the school system for 5 years from the date of introduction. The sample consisted of 156 first-year students. Evaluation of the components of emotional intelligence was measured by self-report (EmIn questionnaire). There was a statistically significant correlation between the severity of different indicators of emotional intelligence of students passing the exam and the results of the three school subjects: Russian language, Mathematics, Social studies. It is shown that since the introduction in 2009 of compulsory exam the level of communication between the indicators of emotional intelligence and the results of the examination has changed. Adaptation processes to the introduction of the state exam lead to changes contingent of successful students: If at the time of the introduction of the exam more successful were students with higher EI, in the process of adaptation more successful became those with lower EI. It was shown that the components of EI, having the most important relationships with the results of the exam, are different for the considered subjects; the dynamics of these relationships has been revealed.</jats:p>",8,2,139,150,Psychology,,,,,https://psyjournals.ru/exp/2015/n2/Dmitrieva_Gelman_full.shtml https://psyjournals.ru/files/76844/exp_2015_n2_Dmitrieva.pdf,http://dx.doi.org/10.17759/exppsy.2015080210,,10.17759/exppsy.2015080210,2125763759,,0,009-476-931-954-189; 010-493-101-535-858; 014-827-628-642-994; 032-451-216-156-623; 035-780-104-110-029; 036-754-302-979-478; 052-012-999-601-439; 055-545-110-754-862; 057-585-245-774-624; 060-755-622-783-540; 061-618-156-528-379; 065-930-064-746-311; 077-490-433-680-207; 077-578-677-340-459; 080-080-723-771-760; 095-435-283-796-685; 107-389-528-653-906; 129-997-328-886-411; 136-335-311-700-503; 140-713-247-478-572,0,true,cc-by-nc,gold
004-324-289-653-64X,Activity of Muscovites in the Urban Environment: The Role of the Responsibility Factor,2022-04-01,2022,journal article,RUDN Journal of Psychology and Pedagogics,23131705; 23131683,Peoples' Friendship University of Russia,,Tatyana P. Emelyanova; Tatyana V. Drobysheva; Eva N. Vikentieva; Semyon V. Tarasov,"<jats:p>The article examines the role of responsibility of residents of a metropolis as a resource for their social activity aimed at ensuring the well-being of the urban environment. This problem is investigated by the authors on the example of Moscow residents. The study involved Muscovites (N = 359) aged 18-75 living in different administrative districts of the city. The following methods were used: questionnaires composed by the authors to identify the type of responsibility of the citizens and their readiness for active participation in the life of the city; value orientation technique by E.B. Fantalova; and set of questions about socio-demographic characteristics of the respondents. The first stage consisted in (1) dividing the respondents into three groups according to different levels of responsibility; (2) determining the direction of responsibility in these groups; (3) identifying the relationship between value orientations and indicators of responsibility; and (4) describing the readiness of the respondents with different levels of responsibility to take an active part in the life of their city. At the second stage, based on the data of regression analysis, the authors show the role of responsibility as a predictor of the activity of the respondents to improve living conditions in their city. It is found that the levels of responsibility for what is happening in their city in the three groups of the respondents differ mainly in the severity of their internal/external judgments or their pessimistic/optimistic moods regarding belief in their own strengths, willingness of other people to support initiatives, and positive/negative expectations of changes in urban life, subject to the active participation of all citizens in any transformations or events. Based on the results of the age analysis of the sample, it is concluded that young people are poorly represented in the group with a high level of responsibility. Prospects for further research are also outlined.</jats:p>",19,1,7,20,Pessimism; Social responsibility; Value (mathematics); Moral responsibility; Psychology; Social value orientations; Set (abstract data type); Orientation (vector space); Social psychology; Public relations; Political science; Law; Economics; Statistics; Mathematics; Philosophy; Programming language; Epistemology; Computer science; Microeconomics; Geometry,social psychology; urban residents; levels of responsibility; internal type of responsibility; external type of responsibility; value orientations; readiness for vigorous activity,,,,https://journals.rudn.ru/psychology-pedagogics/article/download/30737/20602 https://doi.org/10.22363/2313-1683-2022-19-1-7-20,http://dx.doi.org/10.22363/2313-1683-2022-19-1-7-20,,10.22363/2313-1683-2022-19-1-7-20,,,0,001-124-869-149-997; 003-963-113-761-000; 078-559-676-427-379; 084-955-572-770-350; 086-416-809-665-058; 113-252-317-504-724; 156-515-682-601-954; 167-745-342-402-222; 173-825-672-950-253; 186-795-409-050-597,1,true,cc-by-nc,gold
