Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-485-853-315-10X,Ego-Perception and Thanatos-Centration as Sources of Suicide in Adolescence,2019-04-19,2019,journal article,Clinical Psychology and Special Education,23040394,Moscow State University of Psychology and Education,,L B Shneyder; N V Surgucheva,"<jats:p>The article considers structural, processual and causal aspects of suicides. Problems of child philosophizing, specifics of adolescence in the context of suicide discussed. The concept of suicidal risk clarified and its diagnostic possibilities shown. Identified that according to parents opinion significant role belongs to conflicts and personality traits among causal factors of suicidal risk. According to adolescents, suicidal intentions are associated with the subjective impossibility to create satisfactory continuation of life. It has been found that suicidal risks and types of suicidal behavior in late adolescence differ depending on age, worldview, gender and personality traits.</jats:p>",8,1,189,214,Developmental psychology; Psychology; Centration; Perception; Id  ego and super-ego,suicide; adolescent; parents; suicidal behavior; suicidal intentions; suicidal risk,,,,http://psyjournals.ru/en/psyclin/2019/n1/Shneyder_Surgucheva.shtml https://psyjournals.ru/files/98488/Shneyder_Surgucheva.pdf https://psyjournals.ru/psyclin/2019/n1/Shneider_Surgucheva.shtml,http://dx.doi.org/10.17759/cpse.2019080112,,10.17759/cpse.2019080112,2937897418,,0,136-167-665-737-629,2,true,cc-by-nc,gold
000-515-698-837-18X,Philosophical education and psychology,,2019,journal article,Problems of Modern Education (Problemy Sovremennogo Obrazovaniya),22188711,Federal State Budgetary Educational Institution of Higher Education Moscow Pedagogical State University,,Andrey Yu. Shelkovnikov,"<jats:p>The article is dedicated to the specifics of modern philosophical education. The problem of methodical correlation between philosophy and psychology teaching is considered. One of the aspects of the subject under research is philosophical foundations of psychology. The article is intended for teachers of philosophy, psychology, and other humanities.</jats:p>",,"6, 2019",9,14,Epistemology; Psychology,education; philosophy; psychology; methodology; self-observation образование; философия; психология; методика; самонаблюдение,,,,http://dx.doi.org/10.31862/2218-8711-2019-6-9-14,http://dx.doi.org/10.31862/2218-8711-2019-6-9-14,,10.31862/2218-8711-2019-6-9-14,3013134999,,0,,0,true,,bronze
003-224-314-574-771,Contemporary research on and scientifically based psychotherapeutic methods of treating PTSD in adults,,2020,journal article,Journal of Modern Foreign Psychology,23044977,Moscow State University of Psychology and Education,,E V Kazennaya,"<jats:p>The article offers a systematic review of foreign investigations into posttraumatic stress disorder (PTSD) for the past twenty years as well as the findings of the research into the drug-free treatment of PTSD in the light of an extensive systematic review of the scientific literature of the World Health Organization (WHO). The article presents the results of the investigations into the risk factors, the prognoses, the statistical data on the prevalence of PTSD, and the diagnostic criteria of PTSD according to ICD-11 and DSM-V, including the relevant and the most recent investigations into the PTSD and Complex PTSD (ICD-11). As a result of the review, two scientifically proven effective methods of the drug-free treatment of PTSD have been revealed: Trauma-focused cognitive behavioral therapy (TF-CBT), EMDR (eye movement desensitization and reprocessing) as well as cognitive or behavioural stress management techniques that do not focus on trauma.</jats:p>",9,4,110,119,Psychology; Psychotherapist,,,,,https://psyjournals.ru/en/jmfp/2020/n4/Kazennaya.shtml https://psyjournals.ru/files/118504/jmfp_2020_n4_Kazennaya.pdf https://doaj.org/article/d4ceb980eb08401f911acdf20e741c4f,http://dx.doi.org/10.17759/jmfp.2020090410,,10.17759/jmfp.2020090410,3119470858,,0,005-889-810-358-225; 007-195-999-953-699; 008-236-954-558-593; 008-397-082-706-866; 011-260-972-493-445; 011-871-069-845-670; 017-741-779-138-594; 028-494-340-854-82X; 033-642-920-055-330; 038-319-851-544-772; 045-763-785-285-083; 046-225-411-061-016; 051-563-998-548-87X; 053-013-242-367-151; 054-373-416-146-996; 085-808-761-347-910; 102-647-624-153-802; 139-314-846-880-092; 152-122-714-937-493; 168-232-138-673-853,15,true,cc-by-nc,gold
008-829-484-626-056,FINE ARTS AS A FACTOR OF FORMATION OF THE SCIENTIFIC WORLDVIEW OF THE SCHOOLCHILDREN,,2015,journal article,Философия образования,18110916,Publishing House SB RAS,,Lomov Stanislav; Leonid Medvedev; Dirksen Lyudmila,ИЗОБРАЗИТЕЛЬНОЕ ИСКУССТВО КАК ФАКТОР ФОРМИРОВАНИЯНАУЧНОГО МИРОВОЗЗРЕНИЯ ШКОЛЬНИКОВ С. П. Ломов (Москва),,6,,,The arts; Factor (programming language); Psychology; Art; Visual arts; Computer science; Programming language,,,,,http://sibran.ru/upload/iblock/d41/d414013ca6faca6d672f2e47e8c79e1f.pdf https://doi.org/10.15372/phe20150618,http://dx.doi.org/10.15372/phe20150618,,10.15372/phe20150618,,,0,,0,true,,bronze
011-239-925-570-384,Stress and fear in extreme situations,,2020,journal article,Journal of Modern Foreign Psychology,23044977,Moscow State University of Psychology and Education,,M I Rozenova; Valentina Ekimova; Alexey Kokurin; A.S. Ognev; O.S. Efimova,"<jats:p>Based on the analysis of foreign sources, the article examines the issues of functional interaction between states of fear and stress in an extreme situation. These experiences or states determine important aspects of personality behavior in extreme situations. The paper shows ambiguity and some confusion about understanding the hierarchical functional development of these states: sometimes stress is called the cause of the development of fears, which, in turn, begins to increase stress, or fear acts a source of stress response in a particular situation. Studies by foreign stress specialists show some return to the original (long-known) data regarding understanding the development of stress and methods of relieving its effects. In addition, in foreign literature, the problem of mutual impact of fear and stress in an extreme situation is not sufficiently informative, which allows national studies to fill the gap, and, in a sense, to implement a «pioneering» work.</jats:p>",9,1,94,102,Psychology; Social psychology; Stress (mechanics),стресс; страх; переживание; экстремальная; ситуация; состояния; взаимодействие; система; реагирование Для цитаты: Стресс и страх в экстремальной ситуации [Электронный ресурс] / М.И. Розенова; В.И. Екимова; А.В. Кокурин; А.С. Огнев; О.С. Ефимова // Современная зарубежная психология. 2020. Том 9. № 1. С. 94-102 stress; fear; experience; extreme situation; state; interaction; system; response,,,,https://psyjournals.ru/files/112775/jmfp_2020_n1_Rozenova_Kokurin_Ognev.pdf https://psyjournals.ru/jmfp/2020/n1/Rozenova_et_al.shtml,http://dx.doi.org/10.17759/jmfp.2020090110,,10.17759/jmfp.2020090110,3014758031,,0,018-518-391-602-965; 025-492-475-614-067; 026-587-993-125-35X; 029-438-403-351-841; 035-382-034-420-457; 065-897-040-304-744; 070-608-574-415-454; 073-904-250-391-586; 082-712-282-224-352; 112-285-186-550-193; 116-838-033-141-48X; 120-660-396-292-948; 133-426-107-027-440; 156-512-614-749-304,21,true,cc-by-nc,gold
013-349-770-278-740,Main directions of improving professional thinking of psychology students,,2023,journal article,Pedagogy and Psychology of Education,2500297x,Federal State Budgetary Educational Institution of Higher Education «Moscow Pedagogical State University» (MPGU),,A.F. Anufriev; N.S. Kuliev; D.A. Popravko; V.I. Chmel,"<jats:p>The article is devoted to the analysis of directions for improving professional thinking in psychology students. Based on the analysis of modern domestic and foreign literature on  the  problem of  professional thinking, three main directions of  its improvement are identified  – the  development of  critical thinking, taking into account the  cognitive-style organization of  thinking, and the  development of  diagnostic thinking. The  first direction reveals the specifics and functions of critical thinking, approaches to its understanding, the relationship of critical thinking with metacognition as knowledge of one’s cognitive activity, and outlines ways to form critical thinking. When describing the second direction, the author defines the cognitive style of thinking, notes its relationship with metacognitive abilities, provides data from psychological research in  the  field of  education and professional activity, and draws attention to  the  fact that cognitive styles determine the  success of  various types of professional activity. In the third direction of improving professional thinking, the author shows the specifics of diagnostic thinking as a special type of cognitive and practical activity, presents data from empirical studies, and describes a new automated computer system designed to form the diagnostic skills of  a  psychologist in  solving cause-and-effect diagnostic problems. It is noted that the development of diagnostic thinking using an automated system is possible by solving training cases created based on real cases from the  diagnostic consulting practice of  a  psychologist. It  is  shown that this technology can be used not only for the formation of diagnostic thinking, but also for critical thinking.</jats:p>",1,,,,Critical thinking; Metacognition; Cognitive style; Psychology; Cognitively Guided Instruction; Cognition; Critical systems thinking; Vertical thinking; Divergent thinking; Convergent thinking; Style (visual arts); Professional development; Systems thinking; Mathematics education; Pedagogy; Social psychology; Computer science; Creative thinking; Artificial intelligence; Creativity; Archaeology; Neuroscience; History,,,,,,http://dx.doi.org/10.31862/2500-297x-2023-1-150-164,,10.31862/2500-297x-2023-1-150-164,,,0,,0,true,,gold
015-469-255-855-872,Distance technologies in teaching Russian as a foreign language at the present stage of development of foreign language education,,2021,journal article,World of Science. Pedagogy and psychology,23094265,Publishing Company World of Science LLC,,Roza Makhaeva,"<jats:p>The transmission of information is one of the most accessible common phenomena in the modern world. For the convenient dissemination of scientific knowledge, it is enough to use the virtual environment of the Internet. Technologies of the present time make it possible to freely use the computer and the web space for learning at any level, either at a school or university. Open access to learning is essential for today's society, which strives to meet the growing demand for education, regardless of location of educational process. Distance learning technologies make it possible to reach large groups of people in remote areas of the country, people with different forms of disabilities and those who, for whatever reason, are not able to study in person.; Teaching foreign languages, in particular Russian as a foreign language, today takes place with the help of modern programs that facilitate classes in direct interaction with the teacher or independently. Therefore, when building a model of teaching Russian as a foreign language using distance technologies, it is very important to create an educational language environment that includes teaching materials, a set of tasks, the organization of student communication not only in asynchronous, but also in synchronous, including voice, modes. The article discusses the use of distance platforms for learning foreign languages, highlights the functions of a teacher in organizing the process of teaching Russian as a foreign language using distance technologies.; The article proposed by the author reflects the work of the founders of the theory of distance learning in Russian as a foreign language E.G. Azimova, L.A. Dunaeva, O.I. Rudenko-Morgun, A.N. Bogomolov. The author of the article defines the criteria for the selection of linguodidactic materials using distance technologies and the specifics of the task system. The research carried out within the framework of this article allows us to conclude that distance learning should not and cannot replace traditional education. The use of distance technologies can increase the motivation of students to learn, their responsibility, the level of self-realization, as well as form communication skills and cultural competence.</jats:p>",9,2,,,Foreign language; Stage (stratigraphy); Political science; Linguistics,,,,,http://dx.doi.org/10.15862/39pdmn221,http://dx.doi.org/10.15862/39pdmn221,,10.15862/39pdmn221,3172667481,,0,,1,true,cc-by,gold
016-476-120-693-441,Operational Model and Tools for Studying Subjective Well-Being of Orphans and Children Without Parental Care,,2020,journal article,Psychological Science and Education,18142052; 23117273,Moscow State University of Psychology and Education,,V N Oslon; G V Semya; L M Prokopeva; U V Kolesnikova,"<jats:p>The article presents the rationale for the theoretical construct ‘subjective well-being of orphans’, its operational model, as well as the reliability and validity of a specially designed standardized interview (SI) for measuring and assessing both the general level of subjective well-being and its specific areas (SWB).The subjective well-being of a child is viewed from the position of his/her satisfaction with the ‘system of own attitudes’ to himself, to others, to the environment, to his/her ‘chronotope’.The operational assessment model built on its basis included 10 domains that built the basis of SI. The tool was tested on a sample of 498 orphanage residents aged 13 to 17 years. Its reliability, internal consistency, correctness and validity have been proven: meaningful, constructive (Cronbach’s coefficient “α” α k = 0.741); convergent (at the level of high statistical significance, SI indicators correlate with the method of M. Rosenberg, as well as with the results of the “Vi ability” test (Osin E.N., Rasskazova E.I., screening version); criterial (correlation analysis revealed the stable relationships between indicators of subjective well-being and institutional experience (r = 0.017, p = 0.702).</jats:p>",25,6,41,50,Paternal care; Subjective well-being; Developmental psychology; Psychology,ФГБОУ ВО «Московский государственный психолого-педагогический университет» (ФГБОУ ВО МГППУ); г . Москва; Российская Федерация ФГБОУ ВО «Московский государственный психолого-педагогический университет» (ФГБОУ ВО МГППУ); г . Москва; Российская Федерация,,,,https://psyjournals.ru/files/118328/pse_2020_n6_Oslon_Semya_et_al.pdf https://psyjournals.ru/psyedu/2020/n6/Oslon_Semya_et_al.shtml,http://dx.doi.org/10.17759/pse.2020250604,,10.17759/pse.2020250604,3113791143,,0,012-133-471-415-275; 025-417-088-125-407; 029-787-288-564-352; 036-966-039-975-115; 044-169-413-594-362; 050-499-436-721-52X; 051-786-850-752-581; 056-284-456-911-857; 069-621-294-801-36X; 135-953-763-697-765; 161-053-476-485-304,23,true,cc-by-nc,gold
018-967-809-460-17X,Digital university: rethinking the model framework within stakeholder theory,,2020,journal article,World of Science. Pedagogy and psychology,23094265,Publishing Company World of Science LLC,,Egor V. Neborsky; Mikhail V. Boguslavsky; Natalya Ladyzhets; Tatyana A. Naumova,"<jats:p>The COVID-19 pandemic, which triggered an avalanche-like transition of universities to a remote work format, not only identified new conditions for organizing pedagogical and administrative processes in universities, but also updated the topic of digital technologies in research projects and publications. The framework of the “digital university” model, for the implementation of which the state provides subsidies, consists of four blocks: management systems based on data; digital educational technologies; individual educational trajectories; competence of the digital economy. In general, the development of a framework for a digital university model is aimed at solving specific problems that are fully justified, and their solution seems to be extremely necessary, but in a sense they can represent only the first stage in the development of a digital university as a phenomenon of a new era. The introduction of technological innovation into the ritualized practices of universities is, in fact, a response to past challenges. To rethink the framework of the model, its enrichment and refinement, the theory of stakeholders (stakeholders) was used. The main stakeholders are: the state; University management; administrative staff; teaching staff; researchers and laboratory assistants; educational support staff; technical staff; students; parents and legal representatives of students; applicants; parents and legal representatives of applicants; foreign universities and their representatives in the university administration; foreign faculty; foreign students, graduate students and doctoral students; employers; investors; mass media (primarily regional); public organizations. The needs of stakeholders are considered, as well as possible digital solutions. The article substantiates that the traditional use of a digital device without the actual use of innovative digital technologies does not make higher education digital in the literal sense of the word.</jats:p>",8,6,,,Sociology; Stakeholder theory; Management science,university; digital university; digital education; digital educational technologies; distance learning; online and offline education; educational systems management,,,,http://dx.doi.org/10.15862/22pdmn620,http://dx.doi.org/10.15862/22pdmn620,,10.15862/22pdmn620,3116590021,,0,,4,true,cc-by,gold
021-533-021-385-901,Трансформация метафорических репрезентаций жизненного пути личности в период самоизоляции у взрослых,,2020,journal article,Clinical Psychology and Special Education,23040394,Moscow State University of Psychology and Education,,Саликова Э.М.В.,"<jats:p>This article discusses theoretical approaches for understanding metaphorically expressed life paths social representations.  The results of a longitudinal empirical study of life paths metaphorically expressed social representations of adult group are presenter. In the first half of study, 267 respondents took part, in the second half of study – 37 respondents. During the first stage of this study, the categories of analysis of metaphorical representations were selected on the basis of the essay material of 267 respondents. At the second stage of the study, data of 37 respondents analyzed. Participants with an interval of six months described in the form of metaphors their life path in a normal situation and in a situation of self-isolation. During this study content-analysis of the words that make up the metaphoric representations of life path and life path in self-isolation was performed. Categories of metaphoric representations were picked out, and analysis was performed with the use of these categories. We created next two nuclear-peripheral structures of social representations, expressed metaphorically: life path and life path in self-isolation (in the adult group). Comparative analysis of representations about life path in everyday life and during the period of self-isolation performed, dynamic changes in the structural elements of social representations identified.</jats:p>",9,2,147,160,Psychology,social representations; life path; metaphor; self-isolation,,,,https://psyjournals.ru/psyclin/2020/n2/Salikova.shtml https://psyjournals.ru/files/114895/cpse_2020_n2_Salikova.pdf,http://dx.doi.org/10.17759/cpse.2020090207,,10.17759/cpse.2020090207,3045207386,,0,043-980-393-889-791; 048-612-970-735-497; 050-668-863-259-637,3,true,cc-by-nc,gold
