Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
L B Shneyder; N V Surgucheva,Ego-Perception and Thanatos-Centration as Sources of Suicide in Adolescence,2019,000-485-853-315-10X,10.17759/cpse.2019080112,2
Andrey Yu. Shelkovnikov,Philosophical education and psychology,2019,000-515-698-837-18X,10.31862/2218-8711-2019-6-9-14,0
E V Kazennaya,Contemporary research on and scientifically based psychotherapeutic methods of treating PTSD in adults,2020,003-224-314-574-771,10.17759/jmfp.2020090410,15
Lomov Stanislav; Leonid Medvedev; Dirksen Lyudmila,FINE ARTS AS A FACTOR OF FORMATION OF THE SCIENTIFIC WORLDVIEW OF THE SCHOOLCHILDREN,2015,008-829-484-626-056,10.15372/phe20150618,0
M I Rozenova; Valentina Ekimova; Alexey Kokurin; A.S. Ognev; O.S. Efimova,Stress and fear in extreme situations,2020,011-239-925-570-384,10.17759/jmfp.2020090110,21
A.F. Anufriev; N.S. Kuliev; D.A. Popravko; V.I. Chmel,Main directions of improving professional thinking of psychology students,2023,013-349-770-278-740,10.31862/2500-297x-2023-1-150-164,0
Roza Makhaeva,Distance technologies in teaching Russian as a foreign language at the present stage of development of foreign language education,2021,015-469-255-855-872,10.15862/39pdmn221,1
V N Oslon; G V Semya; L M Prokopeva; U V Kolesnikova,Operational Model and Tools for Studying Subjective Well-Being of Orphans and Children Without Parental Care,2020,016-476-120-693-441,10.17759/pse.2020250604,23
Egor V. Neborsky;Mikhail Boguslavsky; Natalya Ladyzhets; Tatyana A. Naumova,Digital university: rethinking the model framework within stakeholder theory,2020,018-967-809-460-17X,10.15862/22pdmn620,4
Саликова Э.М.В.,Трансформация метафорических репрезентаций жизненного пути личности в период самоизоляции у взрослых,2020,021-533-021-385-901,10.17759/cpse.2020090207,3
V A Ilyin,“The Casus of Reciprocity” and Other “Inconveniences with Identity”,2021,026-390-738-394-238,10.17759/sps.2021120114,2
V A Ilyin; N A Krayushkina,Coping Strategies of Members of Open and Closed Contact,2020,027-944-166-268-073,10.17759/sps.2020110410,0
Вачков; Д В Молчанова,Метафора профессионального самоопределения: взаимосвязь индивидуально-личностных характеристик и выбора профессии,2018,030-202-212-776-630,10.17759/psylaw.2018080206,2
Olga E. Gribova; Anna A. Almazova,Close Gap Test Strategies for Students with Severe Speech Impairment,2021,030-842-393-494-67X,10.15507/1991-9468.103.025.202102.340-358,0
V A Ilyin,"History of Personality and Personality in History: On the 20th Anniversary of the Publication of the Monograph by A.V. Tolstykh ""The Experience of Concrete Historical Psychology of Personality""",2020,031-391-003-741-783,10.17759/chp.2020160413,0
Г Н Толкачева; Л М Волобуева; Е И Изотова; М Ю Парамонова,"The Experience, Problems and Prospects of Module-organized Preschool Teacher Training Program within the Network of Higher and Preschool Educational Organisations",2015,031-618-832-991-61X,10.17759/pse.2015200511,2
N.P. Radchikova; M.A. Odintsova; M.G. Sorokova,Prerequisites for Accepting the Digital Educational Environment in New Cultural and Historical Conditions,2021,035-578-291-912-879,10.17759/chp.2021170315,4
I V Vachkov; D A Zaruba; J.Y. Kurtanova,Psychological Characteristics of Self-Image and Self-Assessment in Adolescents with Impaired Renal Functioning of Different Severity,2018,036-535-577-347-39X,10.17759/cpse.2018070303,3
