Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
I.Yu. Zherdev;V A Barabanschikov,Facial Expression Identification with Intrasaccadic Stimulus Substitution,2021,000-148-165-536-550,10.17759/exppsy.2021140205,1
A.B. Kholmogorova; N.G. Garanyan; T.O. Tsatsulin,Динамика показателей перфекционизма и симптомов эмоционального неблагополучия в российской студенческой популяции за последние десять лет: когортное исследование,2019,000-200-142-021-437,10.17759/chp.2019150305,14
E V Sheryagina,Common and professional psychological help: conceptual framework and issues,2016,000-248-892-888-112,10.17759/cpp.2016240102,7
Ф С Сафуанов; Т Н Секераж,"Деятельность, направленная на побуждение детей к суицидальному поведению: возможности судебно-психологической экспертизы",2017,000-266-113-424-001,10.17759/psylaw.2017060203,7
M V Karyakina; O V Rychkova; A B Shmukler,Cognitive impairments in schizophrenia in foreign studies: single function deficits or group of syndromes?,2021,000-280-472-240-934,10.17759/jmfp.2021100201,9
О Б Крушельницкая; Т Ю Маринова,Конференция памяти академика РАО А.В. Петровского «Социальная психология и общество: история и современность»,2019,000-326-498-396-292,10.17759/sps.2019100413,0
Е.И. Рассказова,Психологическая саморегуляция как фактор успешности управления поведением в различных сферах функционирования личности,2019,000-330-778-132-162,10.17759/exppsy.2019120312,6
V.K. Zaretsky,The Story of the Textbook by F.Ye. Vasilyuk Psychotechnique of Experiencing (A Cultural-Historical Essay),2019,000-339-948-097-023,10.17759/chp.2019150106,0
Н Г Назарова,"Оценка факторов, повышающих и снижающих риск агрессивного противоправного поведения у несовершеннолетних (обзор исследований)",2016,000-341-901-457-688,10.17759/psylaw.2016060308,2
D S Oshevsky; Afonina Yu.S.,Risk factors for aggressive behavior in juvenile offenders suffering from schizophrenic spectrum disorders,2017,000-393-532-897-091,10.17759/psylaw.2017070304,0
N.V. Zvereva;T A Meshkova;A.M. Shcherbakova; A I Hromov,Achievements and Problems in the University Training of Clinical Psychologists (on the 10th Anniversary of the First Graduation of Clinical Psychologists at the Faculty of Clinical and Special Psychology MSUPE),2019,000-442-358-844-573,10.17759/cpse.2019080211,0
