Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
A A Aldasheva; Vladimir S. Lim; Alexander A. Lekalov; Oksana V. Runets,COPYING UNCERTAINTY AND DIFFICULTY BY THE PILOTS OF THE AEROSPACE FORCES,2021,000-971-465-417-538,10.38098/ipran.opwp_2021_20_3_005,0
Nestik; E. A. Mikheev,PSYCHOLOGICAL FACTORS OF THE EFFECTIVENESS OF REFUTING DISINFORMATION IN SOCIAL NETWORKS,2022,002-017-066-241-805,10.38098/ipran.opwp_2022_23_2_003,2
E A Sergienko,"Systematic studies of the resilience of adolescents and the possibility of their adaptation.Review of the monograph by A.I. Laktionova “Resilience and social adaptation”. Moscow: Publ. “Institute of Psychology Russian Academy of Sciences”, 2017. 236 p.",2018,002-582-251-245-711,10.17759/sps.2018090214,0
Tatyana Drobysheva,ECONOMIC SOCIALIZATION OF THE PERSON: ANALYSIS OF APPROACHES TO UNDERSTANDING THE PHENOMENON,2018,002-589-752-985-808,10.18384/2310-7235-2018-1-29-39,2
Tatiana S. Knyazeva,Musical Abilities and Intelligence as a Subject of Research in Music Psychology and Psychology of Music Education,2019,002-945-383-910-162,10.31862/2309-1428-2019-7-3-30-45,2
N E Kharlamenkova; N.V. Tarabrina; D.Nikitina,Метод триад при психологическом исследовании сложных объектов,2015,003-499-980-858-277,10.17759/exppsy.2015080304,0
Nadezhda Nailyevna Kazymova,Features of Coping Strategies of Mothers with Different Stress Levels in the Situation of Their Children’s Upcoming Surgeries,2021,004-004-436-844-938,10.24158/spp.2021.1.7,1
A N Kamnev; T A Mikhailova,Features of the Development of a Teenager's Subjectivity in Interaction with the Natural Environment in a Children's Educational and Health Camp,2021,004-086-123-957-028,10.17759/psyedu.2021130104,5
Е С Дмитриева; В Я Гельман,Динамика изменений взаимосвязи эмоционального интеллекта с результатами ЕГЭ в ходе адаптации школьной системы к его введению,2015,004-267-089-959-152,10.17759/exppsy.2015080210,0
Emelyanova; Tatyana Drobysheva; Eva N. Vikentieva; Semyon V. Tarasov,Activity of Muscovites in the Urban Environment: The Role of the Responsibility Factor,2022,004-324-289-653-64X,10.22363/2313-1683-2022-19-1-7-20,1
Juliet A. Kitova; Китова Джульетта Альбертовна; Natalia R. Aprelikova; Апреликова Наталия Руслановна,Yandex Users’ Needs in Knowledge on Psychology,2019,004-354-978-109-444,10.22363/2313-1683-2019-16-4-618-633,0
Alexander A. Oboznov; Anna Yu. Akimova; Oksana V. Runets,"THE PHENOMENA OF OPERATOR OVER-TRUST AND OVER-MISTRUST TO THE INTERFACE ""HUMAN - ARTIFICIAL INTELLIGENCE""",2021,004-433-229-991-172,10.38098/ipran.opwp_2021_19_2_001,1
Olga.I. Makhovskaya,"REVIEW OF THE MONOGRAPH ""COMMUNICATIVE DIFFICULTIES IN CHILDREN UNDER MULTICULTURAL SOCIAL ENVIRONMENT""",2021,004-764-844-501-063,10.38098/ipran.opwp_2021_21_4_011,0
E N Dymova,Ретроспективный анализ посттравматического стресса в годы Великой Отечественной войны,2021,004-782-468-216-646,10.17759/cpse.2021100301,5
И А Хватов; А Ю Соколов; А Н Харитонов,Схема собственного тела у змей Lampropeltis triangulum campbelli,2015,005-599-039-412-121,10.17759/exppsy.2015080209,4
T N Savchenko;E.S. Samoylenko; A V Korbut,Psychometric properties of instruments of measurement of social comparison orientation,2019,005-935-496-596-448,10.17759/exppsy.2019120209,1
E V Kamenetskaya; T A Rebeko,Representation of physical self and protection of ego in women with eating disorders,2015,006-780-516-623-400,10.17759/exppsy.2015080311,3
Н А Алмаев; О В Мурашева; Ю В Бессонова; Н И Киселева,Обобщенные шкалы контент-анализа проективных рассказов теста социальной мотивации (ТСМ). Корреляционные связи. Часть 2,2018,007-667-477-108-220,10.17759/exppsy.2018110308,0
Наталья Харламенкова; Дарья Никитина; Екатерина Дымова,Самооценка и косвенная оценка стресса и стрессовой ситуации детьми 8-12 лет,2023,008-201-625-264-324,10.17323/1813-8918-2023-1-151-167,3
О Н Боголюбова; А Н Шестакова,Посттравматический стресс и принятие решений: перспективы исследований в парадигме нейроэкономики,2015,008-334-577-185-013,10.17759/exppsy.2015080206,4
Natalya D. Pavlova; Павлова Наталия Дмитриевна; Victoriya A. Afinogenova; Афиногенова Виктория Алексеевна; Taisiya A Grebenschikova; Гребенщикова Таисия Александровна; Irina A. Zachesova; Зачесова Ирина Анатольевна;Kubrak; Kubrak,Patterns of Discussion of Current Events by Internet Users: Case Study of Runet Sites,2020,008-987-967-526-117,10.22363/2313-1683-2020-17-3-504-520,2
Emelyanova; Tatyana V. Belykh; Victoria N. Shabanova,"IMAGES OF THE PAST, PRESENT AND FUTURE AMONG THE REPRESENTATIVES OF THE “BABY-BOOMER” GENERATION",2018,009-071-264-319-935,10.18384/2310-7235-2018-3-75-85,3
Valentina N. Burkova; Marina Butovskaya; Daria Dronova; Yu.I. Adam,Altruism and Parochialism Among Children and Adolescents: Sex and Age Differences,2021,009-162-338-083-130,10.17759/exppsy.2021140304,1
M.A. Padun; E.A. Sorokko; E.A. Suchkova;Lyusin,Сензитивность в восприятии эмоций у лиц с различной склонностью к подавлению эмоциональной экспрессии (на выборке сотрудников МВД),2021,009-645-655-237-11X,10.17759/psylaw.2021110203,1
Natalya D. Pavlova; Irina A Zachiosova; Taisya Grebenshchikova,Mutual Understanding Between Partners in Discourse,2018,009-943-738-942-127,10.31470/2309-1797-2018-24-1-269-288,2
И А Хватов; А Ю Соколов; А Н Харитонов,A comparative analysis of perception of the physical characteristics of body in snakes lampropeltis triangulum cambell and elaphe radiata,2017,010-145-344-497-015,10.17759/exppsy.2017100309,1
Daria A. Nikitina,Motivation for autonomy in people with a life-threatening disease,2021,010-498-641-767-900,10.24158/spp.2021.9.21,0
Ju. Ya. Golikov,THE BASIC FEATURES OF MODERN CONCEPTUAL REPRESENTATIONS ABOUT MATERIAL HUMAN NATURE AND HIS EVOLUTION,2022,010-761-587-262-578,10.38098/ipran.opwp_2022_23_2_001,0
N.V. Borisova,LEGAL CONSCIOUSNESS OF A REPRESENTATIVE OF A MORAL ELITE (ON THE EXAMPLE OF THE PAISIOS OF MAUNT ATHOS). PART 3. SPIRITUAL AND MORAL ASPECTS OF THE TRANSFORMATION OF SOCIAL TIES IN THE COURSE OF THE HISTORICAL PROCESS,2022,010-828-081-875-346,10.38098/ipran.sep_2022_25_1_04,1
А. А. Грачев,BASIC REQUIREMENTS OF THE VUCA-ENVIRONMENT FOR EMPLOYEE COMPETENCE,2020,012-975-343-074-18X,10.38098/ipran.opwp.2020.16.3.006,0
Yulia V. Bessonova,USER MOTIVATION AND PSYCHOLOGICAL VULNERABILITIES IN REMOTE WORKING,2022,013-056-221-029-451,10.38098/ipran.opwp_2022_25_4_009,0
Vladislav V. Latynov; Anatoly N. Zankovsky,AGENT-ORIENTED MODELING OF PSYCHOLOGICAL INFLUENCE IN SOCIAL NETWORKS,2022,013-405-703-702-509,10.38098/ipran.opwp_2022_23_2_007,0
K.I. Ananyeva; I.A. Basyul; A N Kharitonov,Isostatic oculomotor patterns in the visual perception of the faces of the self’s and the other’s race,2017,014-212-870-710-050,10.17759/exppsy.2017100409,4
I V Bogdanova; P A Galanichev; D A Diveev; Valery Nosulenko; Elena Samoylenko; Y G Khoze,Online support for research on cognition and communication,2018,014-549-600-481-351,10.17759/exppsy.2018110220,2
E.Valueva; E M Lapteva; V V Ovsyannikova,Evaluation of the effectiveness of the program for the development of emotional abilities of high school students,2018,014-639-762-411-929,10.17759/jmfp.2018070207,2
В.И. Коннов; К.Б. Зуев,Соперничество двух принципов построения психологической теории в позднесоветской психологии (на материале полемики А.Н. Леонтьева и Б.Ф. Ломова (1960−1970-е гг.)),2022,015-224-760-197-57X,10.17323/1813-8918-2022-4-805-821,0
Vladimir Tolochek,"Psychology of work and psychology of sport: subject, tasks, evolution of discipline. Part 1",2022,015-646-722-289-676,10.38098/ipran.opwp_2022_22_1_002,0
A.N. Voronin;Kubrak,Conceptualization of the Phenomenon of Subjectness of the Network Community Using a Grounded Theory Method,2020,015-872-574-622-953,10.17759/exppsy.2020130301,1
Т В Журавлева;Ениколопов; О В Зубарева; М И Черная,Clinical and psychological features of addict people with an incomplete suicide attempt,2015,016-087-228-621-643,10.17759/psylaw.2015050405,1
Galina Ozhiganova,Possibilities of Development of Schoolchildren’s Higher Creative Capacities in a Specially Organized Educational Environment,2016,018-150-505-204-058,10.5964/psyct.v9i2.196,1
Nina Ippolitova; Vasilisa Suslova,Analysis and ways to improve the quality of preparing students for the UnifiedState Exam in Geography,2019,018-593-287-889-361,10.15862/37pdmn319,0
L S Kuravsky; G A Yuryev;Uchakov; N E Yuryeva; E.Valueva; E M Lapteva,Diagnostics basing on testing paths: the method of patterns,2018,018-615-689-668-240,10.17759/exppsy.2018110206,3
Padun,Child’s emotion regulation and emotional security in the family,2017,018-990-382-600-123,10.17759/jmfp.2017060203,1
A I Melehin; E A Sergienko,Specificity of Cognitive Bias in Recognition of Emotions in the Face in Old Age,2019,019-275-286-892-297,10.17759/cpse.2019080204,2
Nadezhda A. Tsvetkova; Pavel A. Kislyakov; Elena A. Volodarskaya,FEATURES OF THE SEMANTIC SPHERE OF PERSONALITY AND DAILY STRUCTURING OF EMPLOYMENT OF STUDENTS WHO HAVE HAD COVID-2019,2021,019-438-926-029-023,10.12731/2658-6649-2021-13-5-285-306,4
G.V. Ozhiganova,Adaptation of spiritual personality inventory on the russian sample,2019,019-448-803-616-841,10.17759/exppsy.2019120413,7
N E Kharlamenkova; D.Nikitina,Natural Disasters and Life-threatening Diseases: Psychological Consequences,2020,021-333-693-049-250,10.17759/cpse.2020090210,3
V V Gritsenko; L V Ostapenko; I A Subbotina,"The Importance of Civil, Ethnic and Regional Identity for Residents from Small Russian Towns and its Determinants",2020,021-446-275-869-505,10.17759/sps.2020110412,11
О А Алексеева; О Ю Бестужева; О Н Вершинская; Е Е Скворцова,Адаптация пенсионеров к интернет-среде,2018,021-673-997-718-08X,10.17759/sps.2018090210,3
