year,year_month,month_start,n_events,n_authors,n_pages
2006,2006-01,2006-01-01,262,8,41
2006,2006-02,2006-02-01,946,24,222
2006,2006-03,2006-03-01,1292,67,261
2006,2006-04,2006-04-01,1401,140,324
2006,2006-05,2006-05-01,3685,178,543
2006,2006-06,2006-06-01,677,41,196
2006,2006-07,2006-07-01,715,32,187
2006,2006-08,2006-08-01,554,17,191
2006,2006-09,2006-09-01,1458,109,378
2006,2006-10,2006-10-01,2773,219,664
2006,2006-11,2006-11-01,4176,374,798
2006,2006-12,2006-12-01,4845,329,886
2007,2007-01,2007-01-01,4787,187,1389
2007,2007-02,2007-02-01,5221,257,1330
2007,2007-03,2007-03-01,5339,299,1272
2007,2007-04,2007-04-01,5755,361,1250
2007,2007-05,2007-05-01,7430,384,1156
2007,2007-06,2007-06-01,4611,294,778
2007,2007-07,2007-07-01,4559,202,654
2007,2007-08,2007-08-01,3551,168,330
2007,2007-09,2007-09-01,4932,343,539
2007,2007-10,2007-10-01,10649,700,1089
2007,2007-11,2007-11-01,10499,828,1336
2007,2007-12,2007-12-01,9468,890,1278
2008,2008-01,2008-01-01,10156,680,1244
2008,2008-02,2008-02-01,11048,784,1484
2008,2008-03,2008-03-01,7195,682,1068
2008,2008-04,2008-04-01,9701,769,1144
2008,2008-05,2008-05-01,12068,852,1272
2008,2008-06,2008-06-01,9407,514,946
2008,2008-07,2008-07-01,3321,117,499
2008,2008-08,2008-08-01,3602,127,608
2008,2008-09,2008-09-01,6374,398,837
2008,2008-10,2008-10-01,13621,864,1477
2008,2008-11,2008-11-01,13983,819,1268
2008,2008-12,2008-12-01,13147,806,1221
2009,2009-01,2009-01-01,8487,426,1185
2009,2009-02,2009-02-01,8783,685,1250
2009,2009-03,2009-03-01,8403,629,861
2009,2009-04,2009-04-01,11719,794,1020
2009,2009-05,2009-05-01,10489,738,978
2009,2009-06,2009-06-01,9446,377,783
2009,2009-07,2009-07-01,3805,181,444
2009,2009-08,2009-08-01,3440,165,604
2009,2009-09,2009-09-01,8160,390,867
2009,2009-10,2009-10-01,10287,703,1156
2009,2009-11,2009-11-01,12157,731,985
2009,2009-12,2009-12-01,8724,622,750
2010,2010-01,2010-01-01,8261,481,719
2010,2010-02,2010-02-01,8351,495,632
2010,2010-03,2010-03-01,7946,515,842
2010,2010-04,2010-04-01,9294,665,950
2010,2010-05,2010-05-01,6937,499,667
2010,2010-06,2010-06-01,3933,222,574
2010,2010-07,2010-07-01,2512,112,328
2010,2010-08,2010-08-01,2945,197,299
2010,2010-09,2010-09-01,4679,341,448
2010,2010-10,2010-10-01,8295,551,730
2010,2010-11,2010-11-01,9903,628,768
2010,2010-12,2010-12-01,6448,362,755
2011,2011-01,2011-01-01,17693,453,1537
2011,2011-02,2011-02-01,5914,538,597
2011,2011-03,2011-03-01,4406,394,448
2011,2011-04,2011-04-01,4107,504,473
2011,2011-05,2011-05-01,3989,377,529
2011,2011-06,2011-06-01,2139,135,196
2011,2011-07,2011-07-01,952,64,171
2011,2011-08,2011-08-01,2250,261,187
2011,2011-09,2011-09-01,2162,177,268
2011,2011-10,2011-10-01,10556,659,622
2011,2011-11,2011-11-01,10612,696,747
2011,2011-12,2011-12-01,4609,363,505
2012,2012-01,2012-01-01,3022,213,322
2012,2012-02,2012-02-01,3654,238,333
2012,2012-03,2012-03-01,3390,251,312
2012,2012-04,2012-04-01,7122,445,474
2012,2012-05,2012-05-01,5727,469,468
2012,2012-06,2012-06-01,1911,117,202
2012,2012-07,2012-07-01,951,52,133
2012,2012-08,2012-08-01,602,62,104
2012,2012-09,2012-09-01,2142,218,260
2012,2012-10,2012-10-01,3772,251,318
2012,2012-11,2012-11-01,4644,430,367
2012,2012-12,2012-12-01,4735,488,307
2013,2013-01,2013-01-01,17447,1425,1076
2013,2013-02,2013-02-01,14099,896,997
2013,2013-03,2013-03-01,11889,958,778
2013,2013-04,2013-04-01,16370,1318,641
2013,2013-05,2013-05-01,5905,635,447
2013,2013-06,2013-06-01,1902,90,143
2013,2013-07,2013-07-01,1190,43,124
2013,2013-08,2013-08-01,1551,93,187
2013,2013-09,2013-09-01,6130,581,338
2013,2013-10,2013-10-01,5396,519,301
2013,2013-11,2013-11-01,4853,379,279
2013,2013-12,2013-12-01,5062,421,341
