year,year_month,month_start,author_status,n_authors
2006,2006-01,2006-01-01,new,8
2006,2006-02,2006-02-01,new,18
2006,2006-02,2006-02-01,returning,6
2006,2006-03,2006-03-01,new,53
2006,2006-03,2006-03-01,returning,14
2006,2006-04,2006-04-01,new,122
2006,2006-04,2006-04-01,returning,18
2006,2006-05,2006-05-01,new,139
2006,2006-05,2006-05-01,returning,39
2006,2006-06,2006-06-01,new,19
2006,2006-06,2006-06-01,returning,22
2006,2006-07,2006-07-01,new,21
2006,2006-07,2006-07-01,returning,11
2006,2006-08,2006-08-01,new,5
2006,2006-08,2006-08-01,returning,12
2006,2006-09,2006-09-01,new,88
2006,2006-09,2006-09-01,returning,21
2006,2006-10,2006-10-01,new,166
2006,2006-10,2006-10-01,returning,53
2006,2006-11,2006-11-01,new,263
2006,2006-11,2006-11-01,returning,111
2006,2006-12,2006-12-01,new,195
2006,2006-12,2006-12-01,returning,134
2007,2007-01,2007-01-01,new,138
2007,2007-01,2007-01-01,returning,49
2007,2007-02,2007-02-01,new,176
2007,2007-02,2007-02-01,returning,81
2007,2007-03,2007-03-01,new,197
2007,2007-03,2007-03-01,returning,102
2007,2007-04,2007-04-01,new,248
2007,2007-04,2007-04-01,returning,113
2007,2007-05,2007-05-01,new,252
2007,2007-05,2007-05-01,returning,132
2007,2007-06,2007-06-01,new,199
2007,2007-06,2007-06-01,returning,95
2007,2007-07,2007-07-01,new,104
2007,2007-07,2007-07-01,returning,98
2007,2007-08,2007-08-01,new,100
2007,2007-08,2007-08-01,returning,68
2007,2007-09,2007-09-01,new,267
2007,2007-09,2007-09-01,returning,76
2007,2007-10,2007-10-01,new,548
2007,2007-10,2007-10-01,returning,152
2007,2007-11,2007-11-01,new,598
2007,2007-11,2007-11-01,returning,230
2007,2007-12,2007-12-01,new,613
2007,2007-12,2007-12-01,returning,277
2008,2008-01,2008-01-01,new,396
2008,2008-01,2008-01-01,returning,284
2008,2008-02,2008-02-01,new,488
2008,2008-02,2008-02-01,returning,296
2008,2008-03,2008-03-01,new,393
2008,2008-03,2008-03-01,returning,289
2008,2008-04,2008-04-01,new,449
2008,2008-04,2008-04-01,returning,320
2008,2008-05,2008-05-01,new,550
2008,2008-05,2008-05-01,returning,302
2008,2008-06,2008-06-01,new,299
2008,2008-06,2008-06-01,returning,215
2008,2008-07,2008-07-01,new,48
2008,2008-07,2008-07-01,returning,69
2008,2008-08,2008-08-01,new,41
2008,2008-08,2008-08-01,returning,86
2008,2008-09,2008-09-01,new,253
2008,2008-09,2008-09-01,returning,145
2008,2008-10,2008-10-01,new,598
2008,2008-10,2008-10-01,returning,266
2008,2008-11,2008-11-01,new,452
2008,2008-11,2008-11-01,returning,367
2008,2008-12,2008-12-01,new,397
2008,2008-12,2008-12-01,returning,409
2009,2009-01,2009-01-01,new,220
2009,2009-01,2009-01-01,returning,206
2009,2009-02,2009-02-01,new,469
2009,2009-02,2009-02-01,returning,216
2009,2009-03,2009-03-01,new,406
2009,2009-03,2009-03-01,returning,223
2009,2009-04,2009-04-01,new,533
2009,2009-04,2009-04-01,returning,261
2009,2009-05,2009-05-01,new,404
2009,2009-05,2009-05-01,returning,334
2009,2009-06,2009-06-01,new,180
2009,2009-06,2009-06-01,returning,197
2009,2009-07,2009-07-01,new,89
2009,2009-07,2009-07-01,returning,92
2009,2009-08,2009-08-01,new,51
2009,2009-08,2009-08-01,returning,114
2009,2009-09,2009-09-01,new,227
2009,2009-09,2009-09-01,returning,163
2009,2009-10,2009-10-01,new,447
2009,2009-10,2009-10-01,returning,256
2009,2009-11,2009-11-01,new,428
2009,2009-11,2009-11-01,returning,303
2009,2009-12,2009-12-01,new,332
2009,2009-12,2009-12-01,returning,290
2010,2010-01,2010-01-01,new,271
2010,2010-01,2010-01-01,returning,210
2010,2010-02,2010-02-01,new,237
2010,2010-02,2010-02-01,returning,258
2010,2010-03,2010-03-01,new,271
2010,2010-03,2010-03-01,returning,244
2010,2010-04,2010-04-01,new,385
2010,2010-04,2010-04-01,returning,280
2010,2010-05,2010-05-01,new,239
2010,2010-05,2010-05-01,returning,260
2010,2010-06,2010-06-01,new,116
2010,2010-06,2010-06-01,returning,106
2010,2010-07,2010-07-01,new,41
2010,2010-07,2010-07-01,returning,71
2010,2010-08,2010-08-01,new,54
2010,2010-08,2010-08-01,returning,143
2010,2010-09,2010-09-01,new,165
2010,2010-09,2010-09-01,returning,176
2010,2010-10,2010-10-01,new,291
2010,2010-10,2010-10-01,returning,260
2010,2010-11,2010-11-01,new,316
2010,2010-11,2010-11-01,returning,312
2010,2010-12,2010-12-01,new,145
2010,2010-12,2010-12-01,returning,217
2011,2011-01,2011-01-01,new,224
2011,2011-01,2011-01-01,returning,229
2011,2011-02,2011-02-01,new,344
2011,2011-02,2011-02-01,returning,194
2011,2011-03,2011-03-01,new,220
2011,2011-03,2011-03-01,returning,174
2011,2011-04,2011-04-01,new,297
2011,2011-04,2011-04-01,returning,207
2011,2011-05,2011-05-01,new,169
2011,2011-05,2011-05-01,returning,208
2011,2011-06,2011-06-01,new,43
2011,2011-06,2011-06-01,returning,92
2011,2011-07,2011-07-01,new,15
2011,2011-07,2011-07-01,returning,49
2011,2011-08,2011-08-01,new,138
2011,2011-08,2011-08-01,returning,123
2011,2011-09,2011-09-01,new,79
2011,2011-09,2011-09-01,returning,98
2011,2011-10,2011-10-01,new,407
2011,2011-10,2011-10-01,returning,252
2011,2011-11,2011-11-01,new,346
2011,2011-11,2011-11-01,returning,350
2011,2011-12,2011-12-01,new,172
2011,2011-12,2011-12-01,returning,191
2012,2012-01,2012-01-01,new,112
2012,2012-01,2012-01-01,returning,101
2012,2012-02,2012-02-01,new,124
2012,2012-02,2012-02-01,returning,114
2012,2012-03,2012-03-01,new,106
2012,2012-03,2012-03-01,returning,145
2012,2012-04,2012-04-01,new,287
2012,2012-04,2012-04-01,returning,158
2012,2012-05,2012-05-01,new,236
2012,2012-05,2012-05-01,returning,233
2012,2012-06,2012-06-01,new,57
2012,2012-06,2012-06-01,returning,60
2012,2012-07,2012-07-01,new,6
2012,2012-07,2012-07-01,returning,46
2012,2012-08,2012-08-01,new,16
2012,2012-08,2012-08-01,returning,46
2012,2012-09,2012-09-01,new,107
2012,2012-09,2012-09-01,returning,111
2012,2012-10,2012-10-01,new,107
2012,2012-10,2012-10-01,returning,144
2012,2012-11,2012-11-01,new,284
2012,2012-11,2012-11-01,returning,146
2012,2012-12,2012-12-01,new,292
2012,2012-12,2012-12-01,returning,196
2013,2013-01,2013-01-01,new,1244
2013,2013-01,2013-01-01,returning,181
2013,2013-02,2013-02-01,new,277
2013,2013-02,2013-02-01,returning,619
2013,2013-03,2013-03-01,new,462
2013,2013-03,2013-03-01,returning,496
2013,2013-04,2013-04-01,new,959
2013,2013-04,2013-04-01,returning,359
2013,2013-05,2013-05-01,new,192
2013,2013-05,2013-05-01,returning,443
2013,2013-06,2013-06-01,new,23
2013,2013-06,2013-06-01,returning,67
2013,2013-07,2013-07-01,new,15
2013,2013-07,2013-07-01,returning,28
2013,2013-08,2013-08-01,new,48
2013,2013-08,2013-08-01,returning,45
2013,2013-09,2013-09-01,new,466
2013,2013-09,2013-09-01,returning,115
2013,2013-10,2013-10-01,new,211
2013,2013-10,2013-10-01,returning,308
2013,2013-11,2013-11-01,new,207
2013,2013-11,2013-11-01,returning,172
2013,2013-12,2013-12-01,new,206
2013,2013-12,2013-12-01,returning,215
