platform,obj_key,object_name,n_authors,n_events,gini_activity,stigmergy_score,stigmergy_balanced,is_collab
let,let_241581,Проект_Через_тернии_к_звёздам_Участники,360,1346,0.5973914479115073,2594.028663507731,1044.3781242908954,TRUE
let,let_242360,Проект_Через_тернии_к_звёздам_Карта_участников_проекта,247,684,0.4455808887941852,1612.7664530507698,894.1485434829622,TRUE
let,let_2796,Пермь,197,462,0.4837277781440218,1209.132229654988,624.2413827216536,TRUE
let,let_203881,Команда_Бедлам_школы_N_165_г._Новосибирска,178,357,0.42603783086268215,1046.7348715793246,600.786217403341,TRUE
let,let_16174,Проекты_в_Летописи,178,733,0.5254763401137391,1174.5346070933838,557.3444604210239,TRUE
let,let_250086,Сетевой_проект_Живой_символ_Арктики_Участники,195,721,0.6021409011700274,1283.4949020841011,510.6501250960444,TRUE
let,let_2826,Пермский_край,106,173,0.33815028901734107,546.85986171674,361.9390414252412,TRUE
let,let_182682,Список_участников_конкурса_Общероссийский_конкурс_учебных_проектов-2010,99,715,0.4812318994137176,650.7943365291039,337.6113418335131,TRUE
let,let_205324,Общероссийский_конкурс_учебных_проектов-2011_Список_участников,96,646,0.46636351909184726,621.3452442720865,331.5724895823728,TRUE
let,let_174084,Проект_Каждый_день_-_праздник,107,279,0.47231434026730984,602.9224875391096,318.15355060474974,TRUE
let,let_255439,Межрегиональный_сетевой_проект_Нам_жить_на_этой_Земле!_Список_участников_5-8_классов,113,336,0.5422461019806153,657.6693711298169,301.0507182426311,TRUE
let,let_213320,Проект_Наша_КЛАССНАЯ_семьЯ_Участники_2011-2012_и_2012-2013,103,269,0.48558126105316346,576.6374617768327,296.6331159167429,TRUE
let,let_248962,Проект_Через_тернии_к_звёздам__Совместная_карта_Имя_Гагарина_на_карте,86,181,0.37485545419504046,447.5445750886044,279.78005012123924,TRUE
let,let_52367,Мы_-_студенты_проект,98,320,0.5102040816326531,565.6012300667416,277.02917391024073,TRUE
