"username","category_label","category_name","discipline","n_total_edits","n_total_pages","days_active","edit_frequency","first_active_date","last_active_date","edits_articles","pages_articles","avg_size_articles","edits_article_talk","pages_article_talk","avg_size_article_talk","edits_userpage","pages_userpage","avg_size_userpage","edits_user_talk","pages_user_talk","avg_size_user_talk","n_files_uploaded","n_unique_files","avg_file_size","file_types_list"
"Student_1","ОИ-241м","Category:ОИ-241м","История",79,4,8,9.88,2024-11-17,2024-12-22,58,2,4253,0,0,0,19,1,747,2,1,396,4,4,90851,"image"
"Student_2","ОИ-241м","Category:ОИ-241м","История",44,3,8,5.5,2024-11-17,2024-12-24,19,1,4598,0,0,0,22,1,469,3,1,240,3,3,79743,"image"
"Student_3","ОИ-241м","Category:ОИ-241м","История",66,3,3,22,2024-12-06,2024-12-27,49,1,8180,0,0,0,15,1,405,2,1,98,3,3,679083,"image"
"Student_4","ОИ-241м","Category:ОИ-241м","История",47,2,4,11.75,2024-12-01,2024-12-23,34,1,11165,0,0,0,13,1,880,0,0,0,4,4,161540,"image"
"Student_5","ОИ-241м","Category:ОИ-241м","История",78,4,9,8.67,2024-11-17,2024-12-23,57,1,6572,2,1,45,18,1,629,1,1,589,4,4,270656,"image"
"Student_6","ОИ-241м","Category:ОИ-241м","История",120,4,11,10.91,2024-11-18,2024-12-16,90,1,11161,2,1,45,25,1,372,3,1,154,4,4,122095,"image"
"Student_7","ОИ-241м","Category:ОИ-241м","История",91,4,10,9.1,2024-11-18,2024-12-23,68,2,7785,0,0,0,20,1,547,3,1,366,4,4,79432,"image"
"Student_8","ОИ-241м","Category:ОИ-241м","История",34,4,4,8.5,2024-12-09,2024-12-28,21,2,16933,0,0,0,12,1,499,1,1,155,3,3,908389,"image"
"Student_9","ОИ-241м","Category:ОИ-241м","История",137,4,13,10.54,2024-11-17,2024-12-20,94,2,6448,0,0,0,33,1,697,10,1,797,3,3,333766,"image"
"Student_10","ОИ-241м","Category:ОИ-241м","История",43,2,4,10.75,2024-11-17,2024-12-19,27,1,9245,0,0,0,16,1,221,0,0,0,4,4,443894,"image"
"Student_11","ОИ-241м","Category:ОИ-241м","История",102,4,13,7.85,2024-11-18,2024-12-23,64,2,6935,0,0,0,36,1,464,2,1,296,6,6,93265,"image"
"Student_12","ОИ-241м","Category:ОИ-241м","История",53,4,4,13.25,2024-11-24,2024-12-22,31,1,9634,0,0,0,21,2,1845,1,1,8,4,4,190253,"image"
"Student_13","ОИ-241м","Category:ОИ-241м","История",106,4,10,10.6,2024-11-18,2024-12-23,78,2,5547,0,0,0,25,1,364,3,1,77,5,5,81846,"image"
"Student_14","ОИ-241м","Category:ОИ-241м","История",122,3,7,17.43,2024-11-17,2024-12-27,88,1,9666,0,0,0,28,1,625,6,1,514,4,4,155977,"image"
"Student_15","ОИ-241м","Category:ОИ-241м","История",90,3,5,18,2024-11-18,2024-12-23,60,1,8824,0,0,0,29,1,361,1,1,78,6,6,359809,"image"
"Student_16","ОИ-241м","Category:ОИ-241м","История",74,4,7,10.57,2024-11-17,2024-12-15,53,1,8203,4,1,233,14,1,305,3,1,4323,6,6,114458,"image"
"Student_17","ОИ-241м","Category:ОИ-241м","История",96,4,9,10.67,2024-11-18,2024-12-23,70,2,11327,0,0,0,24,1,952,2,1,190,5,5,111015,"image"
"Student_18","ОИ-241м","Category:ОИ-241м","История",56,3,2,28,2024-11-17,2024-12-27,34,1,10459,0,0,0,21,1,487,1,1,81,6,6,519406,"image"
"Student_19","ОИ-241м","Category:ОИ-241м","История",68,4,5,13.6,2024-11-18,2024-12-24,48,2,16595,0,0,0,17,1,566,3,1,98,5,5,447435,"image"
"Student_20","ОИ-241м","Category:ОИ-241м","История",105,4,10,10.5,2024-11-18,2024-12-23,58,1,6209,2,1,45,40,1,858,5,1,768,9,9,493331,"image"
"Student_21","ОИ-241м","Category:ОИ-241м","История",113,3,9,12.56,2024-11-18,2024-12-21,87,1,8471,0,0,0,21,1,198,5,1,2923,5,5,466979,"image"
"Student_22","ОИ-241м","Category:ОИ-241м","История",9,1,0.5,18,2024-11-18,2024-11-18,0,0,0,0,0,0,9,1,92,0,0,0,2,2,216588,"image"
"Student_23","ОИ-241м","Category:ОИ-241м","История",60,4,7,8.57,2024-11-18,2024-12-27,17,1,9267,7,1,10421,18,1,677,18,1,8030,4,4,73357,"image"
"Student_24","ОИ-241м","Category:ОИ-241м","История",144,3,13,11.08,2024-11-17,2024-12-20,93,1,13430,0,0,0,46,1,847,5,1,712,4,4,76108,"image"
"Student_25","ОИ-241м","Category:ОИ-241м","История",154,4,13,11.85,2024-11-17,2024-12-22,127,1,14775,2,1,45,16,1,669,9,1,2730,7,7,125127,"image"
"Student_26","ОИ-241м","Category:ОИ-241м","История",110,3,5,22,2024-11-18,2024-12-27,55,1,8979,0,0,0,29,1,301,26,1,6205,7,7,129266,"image"
"Student_27","ОИ-241м","Category:ОИ-241м","История",72,4,7,10.29,2024-11-18,2024-12-23,54,1,7413,3,1,48,11,1,152,4,1,122,4,4,228394,"image"
"Student_28","ОИ-251м","Category:ОИ-251м","История",25,3,5,5,2025-11-24,2025-12-28,15,1,13646,0,0,0,7,1,707,3,1,78,2,2,1378810,"image"
"Student_29","ОИ-251м","Category:ОИ-251м","История",34,2,5,6.8,2025-11-25,2025-12-22,21,1,6362,0,0,0,13,1,590,0,0,0,3,3,59647,"image"
"Student_30","ОИ-251м","Category:ОИ-251м","История",80,3,5,16,2025-12-23,2025-12-28,75,1,8539,0,0,0,4,1,307,1,1,135,3,3,176478,"image"
"Student_31","ОИ-251м","Category:ОИ-251м","История",91,4,11,8.27,2025-11-14,2025-12-29,69,2,9944,0,0,0,19,1,337,3,1,141,7,7,824754,"image"
"Student_32","ОИ-251м","Category:ОИ-251м","История",67,3,6,11.17,2025-12-14,2025-12-29,47,1,11942,0,0,0,19,1,480,1,1,211,6,6,112754,"image"
"Student_33","ОИ-251м","Category:ОИ-251м","История",28,3,8,3.5,2025-11-16,2025-12-28,18,2,7378,0,0,0,10,1,587,0,0,0,3,3,315714,"image"
"Student_34","ОИ-251м","Category:ОИ-251м","История",125,3,15,8.33,2025-11-14,2025-12-29,112,1,11921,0,0,0,11,1,263,2,1,86,2,2,149450,"image"
"Student_35","ОИ-251м","Category:ОИ-251м","История",141,4,10,14.1,2025-11-14,2025-12-29,117,1,12513,0,0,0,21,2,757,3,1,196,7,7,136788,"image"
"Student_36","ОИ-251м","Category:ОИ-251м","История",29,3,5,5.8,2025-11-16,2025-12-28,17,1,4173,0,0,0,9,1,226,3,1,258,1,1,41603,"image"
"Student_38","ОИ-251м","Category:ОИ-251м","История",26,3,3,8.67,2025-12-19,2025-12-28,14,1,3344,0,0,0,11,1,873,1,1,63,2,2,58256,"image"
"Student_39","ОИ-251м","Category:ОИ-251м","История",70,5,7,10,2025-11-14,2025-12-29,46,3,5045,0,0,0,23,1,274,1,1,125,2,2,435132,"image"
"Student_40","ОИ-251м","Category:ОИ-251м","История",71,5,4,17.75,2025-11-15,2025-12-29,39,3,15243,0,0,0,19,1,1012,13,1,1331,5,5,270561,"image"
"Student_41","ОИ-251м","Category:ОИ-251м","История",46,3,9,5.11,2025-11-23,2025-12-29,39,1,11798,0,0,0,5,1,348,2,1,110,1,1,106243,"image"
"Student_43","ОИ-251м","Category:ОИ-251м","История",27,2,10,2.7,2025-11-28,2026-01-09,12,1,6109,0,0,0,15,1,627,0,0,0,4,4,314900,"image"
"Student_44","ОИ-251м","Category:ОИ-251м","История",52,4,8,6.5,2025-11-16,2025-12-27,39,1,6825,2,1,45,10,1,188,1,1,118,1,1,1106432,"image"
"Student_45","ОИ-251м","Category:ОИ-251м","История",38,2,2,19,2025-11-16,2025-12-29,32,1,18351,0,0,0,6,1,523,0,0,0,10,10,131693,"image"
"Student_46","ОИ-251м","Category:ОИ-251м","История",73,7,7,10.43,2025-11-16,2025-12-29,46,5,9307,0,0,0,20,1,402,7,1,186,3,3,54450,"image"
"Student_47","ОИ-251м","Category:ОИ-251м","История",15,2,4,3.75,2025-11-16,2025-12-28,5,1,8629,0,0,0,10,1,496,0,0,0,3,3,118288,"image"
"Student_48","ОИ-251м","Category:ОИ-251м","История",422,4,9,46.89,2025-11-16,2025-12-28,394,2,23849,0,0,0,26,1,1119,2,1,140,13,13,571107,"image"
"Student_49","ОИ-251м","Category:ОИ-251м","История",52,3,9,5.78,2025-11-16,2026-01-11,36,1,9599,0,0,0,15,1,405,1,1,132,7,7,818962,"image"
"Student_50","ОИ-251м","Category:ОИ-251м","История",30,3,5,6,2025-11-16,2025-12-28,15,1,8721,0,0,0,14,1,517,1,1,61,4,4,141557,"image"
"Student_51","ОИ-251м","Category:ОИ-251м","История",51,3,5,10.2,2025-11-16,2025-12-28,41,1,10220,0,0,0,8,1,603,2,1,761,5,5,155190,"image"
"Student_52","ОИ-251м","Category:ОИ-251м","История",18,4,4,4.5,2025-12-07,2025-12-23,9,2,3338,0,0,0,7,1,447,2,1,150,2,2,80076,"image"
"Student_53","ОИ-251м","Category:ОИ-251м","История",92,4,8,11.5,2025-11-16,2025-12-28,71,2,19842,0,0,0,15,1,436,6,1,88,5,5,322576,"image"
"Student_54","ОИ-251м","Category:ОИ-251м","История",121,3,10,12.1,2025-11-16,2025-12-28,108,1,13292,0,0,0,11,1,377,2,1,217,8,8,156037,"image"
"Student_55","ОИ-251м","Category:ОИ-251м","История",31,3,6,5.17,2025-11-16,2025-12-27,15,1,6494,0,0,0,15,1,362,1,1,94,3,3,386827,"image"
"Student_56","ОИ-251м","Category:ОИ-251м","История",35,4,5,7,2025-12-04,2025-12-28,28,1,11285,1,1,45,4,1,188,2,1,66,2,2,156308,"image"
"Student_57","ОИ-251м","Category:ОИ-251м","История",9,1,0.5,18,2025-11-16,2025-11-16,0,0,0,0,0,0,9,1,196,0,0,0,1,1,55461,"image"
"Student_58","ОИ-251м","Category:ОИ-251м","История",44,2,5,8.8,2025-11-16,2025-12-28,38,1,7945,0,0,0,6,1,373,0,0,0,10,10,1176095,"image"
"Student_59","ПОМ_ЛПС-24","Category:ПОМ_ЛПС-24","Филология",78,3,6,13,2024-10-04,2025-01-21,62,1,21652,0,0,0,14,1,410,2,1,114,8,8,224613,"image"
"Student_60","ПОМ_ЛПС-24","Category:ПОМ_ЛПС-24","Филология",27,5,2,13.5,2024-09-20,2024-10-04,12,2,1051,5,2,1273,10,1,110,0,0,0,7,7,297915,"image"
"Student_61","ПОМ_ЛПС-24","Category:ПОМ_ЛПС-24","Филология",130,3,15,8.67,2024-09-27,2025-01-21,112,1,11497,0,0,0,15,1,349,3,1,232,6,6,555238,"image"
"Student_62","ПОМ_ЛПС-24","Category:ПОМ_ЛПС-24","Филология",84,3,6,14,2024-09-27,2025-01-25,52,1,12583,0,0,0,28,1,313,4,1,89,5,5,166845,"image"
"Student_63","ПОМ_ЛПС-24","Category:ПОМ_ЛПС-24","Филология",149,4,8,18.62,2024-09-27,2025-01-05,106,2,13207,0,0,0,33,1,1085,10,1,1691,8,8,327643,"image"
