"author_anon","object_id","object_name","commit_time","year","commit_type","commit_message","total_changes","pageid","page_title","revid","parentid","rev_size","source_namespace","author_id","author_name","author_type","minor","anon"
"WNAME_MediaWiki_default","1","Halaman Utama","2014-09-04T20:42:44Z",2014,"wiki_system_edit","",479,1,"Halaman Utama",1,NA,479,0,0,"MediaWiki default","system",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:02:31Z",2014,"wiki_minor_edit","/* Memulai penggunaan */",4541,1,"Halaman Utama",5,NA,5020,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:10:26Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",7108,1,"Halaman Utama",6,NA,12128,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:12:09Z",2014,"wiki_minor_edit","/* Test Copy of the DACH Scratch Wiki Homepage */",43,1,"Halaman Utama",7,NA,12171,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:12:38Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",53,1,"Halaman Utama",8,NA,12224,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:16:49Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",2,1,"Halaman Utama",9,NA,12226,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:17:41Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",1,1,"Halaman Utama",10,NA,12227,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:19:14Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",1,1,"Halaman Utama",11,NA,12228,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T09:33:00Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",42,1,"Halaman Utama",12,NA,12270,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-05T17:22:55Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",5,1,"Halaman Utama",17,NA,12275,0,2,"Mtwoll","human",TRUE,FALSE
"W5","1","Halaman Utama","2014-09-06T21:55:27Z",2014,"wiki_minor_edit","updated one thing",-5,1,"Halaman Utama",19,NA,12270,0,5,"Curiouscrab","human",TRUE,FALSE
"W5","1","Halaman Utama","2014-09-06T21:56:30Z",2014,"wiki_minor_edit","updated link to match rest",-13,1,"Halaman Utama",20,NA,12257,0,5,"Curiouscrab","human",TRUE,FALSE
"W5","1","Halaman Utama","2014-09-06T22:03:19Z",2014,"wiki_minor_edit","noticeable message for non-editing visitors",92,1,"Halaman Utama",21,NA,12349,0,5,"Curiouscrab","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-08T14:02:19Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",210,1,"Halaman Utama",30,NA,12559,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-08T15:10:21Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",43,1,"Halaman Utama",31,NA,12602,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-08T15:16:14Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",288,1,"Halaman Utama",32,NA,12890,0,2,"Mtwoll","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-09T07:47:13Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",57,1,"Halaman Utama",34,NA,12947,0,2,"Mtwoll","human",TRUE,FALSE
"W1","1","Halaman Utama","2014-09-10T18:33:40Z",2014,"wiki_minor_edit","",46,1,"Halaman Utama",52,NA,12993,0,1,"Admin","human",TRUE,FALSE
"W1","1","Halaman Utama","2014-09-10T18:34:38Z",2014,"wiki_minor_edit","",-46,1,"Halaman Utama",53,NA,12947,0,1,"Admin","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-10T20:08:49Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",542,1,"Halaman Utama",59,NA,13489,0,2,"Mtwoll","human",TRUE,FALSE
"W3","1","Halaman Utama","2014-09-11T10:53:35Z",2014,"wiki_minor_edit","Melindungi ""[[Halaman Utama]]"" (‎[edit=sysop] (selamanya) ‎[move=sysop] (selamanya))",0,1,"Halaman Utama",64,NA,13489,0,3,"Rumanti","human",TRUE,FALSE
"W3","1","Halaman Utama","2014-09-11T12:10:25Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */ translated a few minor stuff",-7,1,"Halaman Utama",69,NA,13482,0,3,"Rumanti","human",TRUE,FALSE
"W2","1","Halaman Utama","2014-09-12T05:26:51Z",2014,"wiki_minor_edit","/* Test Copy of the english Scratch Wiki Homepage */",460,1,"Halaman Utama",73,NA,13942,0,2,"Mtwoll","human",TRUE,FALSE
"W3","1","Halaman Utama","2014-09-12T10:15:34Z",2014,"wiki_minor_edit","moved the messages to the community portal",-9459,1,"Halaman Utama",79,NA,4483,0,3,"Rumanti","human",TRUE,FALSE
